,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58
1153,12971431,JG138918,2023-02-03T02:42:00.000,011XX N KARLOV AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,1111,011,37,23,04B,1148845,1907210,2023,2023-02-10T15:48:08.000,41.901317483,-87.728722263,"{'latitude': '41.901317483', 'longitude': '-87.728722263', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,4299,24,99,45,5,16,68
1154,12971479,JG138924,2023-02-03T02:30:00.000,065XX S LOWE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0723,007,20,68,08B,1173163,1861518,2023,2023-02-10T15:48:08.000,41.775429728,-87.640753492,"{'latitude': '41.775429728', 'longitude': '-87.640753492', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,21559,66,435,4,11,17,202
1155,12971418,JG138906,2023-02-03T02:30:00.000,066XX W DAKIN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1632,016,38,17,14,1131456,1925422,2023,2023-02-10T15:48:08.000,41.951611949,-87.792172626,"{'latitude': '41.951611949', 'longitude': '-87.792172626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",25,22254,17,444,19,52,12,17
1156,12971413,JG138914,2023-02-03T02:30:00.000,016XX N MOBILE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2513,025,29,25,07,1133947,1910305,2023,2023-02-10T15:48:08.000,41.91008564,-87.783372032,"{'latitude': '41.91008564', 'longitude': '-87.783372032', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,22615,26,597,7,2,6,196
1157,12972952,JG140781,2023-02-03T02:30:00.000,003XX W PERSHING RD,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,GAS STATION,False,False,0915,009,3,34,07,1175034,1879095,2023,2023-02-10T15:48:08.000,41.823621211,-87.633369949,"{'latitude': '41.823621211', 'longitude': '-87.633369949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,14924,35,296,9,37,23,170
1158,12971474,JG138917,2023-02-03T02:22:00.000,029XX W PETERSON AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,2011,020,40,2,15,1155475,1939729,2023,2023-02-10T15:48:08.000,41.990421039,-87.703491792,"{'latitude': '41.990421039', 'longitude': '-87.703491792', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,4450,20,30,27,50,11,52
1159,12971459,JG138908,2023-02-03T02:20:00.000,053XX S MARYLAND AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,False,True,0233,002,5,41,04B,1182813,1869867,2023,2023-02-10T15:48:08.000,41.798121418,-87.605118787,"{'latitude': '41.798121418', 'longitude': '-87.605118787', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,21192,8,440,33,10,24,124
1160,12971416,JG138904,2023-02-03T02:19:00.000,029XX W DEVON AVE,0312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,False,False,2412,024,50,2,03,1155383,1942304,2023,2023-02-10T15:48:08.000,41.997488812,-87.703760556,"{'latitude': '41.997488812', 'longitude': '-87.703760556', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,4450,20,40,27,12,11,46
1161,12971420,JG138903,2023-02-03T02:15:00.000,052XX W NORTH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,2532,025,37,25,07,1141381,1910140,2023,2023-02-10T15:48:08.000,41.909498816,-87.756066167,"{'latitude': '41.909498816', 'longitude': '-87.756066167', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,22615,26,596,45,2,6,145
1162,12972142,JG139673,2023-02-03T02:10:00.000,028XX W Touhy Ave,1360,CRIMINAL TRESPASS,TO VEHICLE,OTHER (SPECIFY),False,False,2411,024,50,2,26,1156037,1947610,2023,2023-02-10T15:48:08.000,42.012035462,-87.701210616,"{'latitude': '42.012035462', 'longitude': '-87.701210616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,22528,20,359,27,12,11,35
