year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,teachers_fte_crdc,teachers_uncertified_fte,support_fte,counselors_fte,social_workers_fte,psychologists_fte,law_enforcement_fte,security_guard_fte,salaries_teachers,salaries_instructional_aides,salaries_support,salaries_administration
mixed - most recent,1.70E+11,North Shore Academy,IL,Northern Suburban Spec Ed Dist,Missing/not reported,Special education school,No,12,0,26.8,1,8,2,0,0,716266,485982.75,1748009.875,558423.625
mixed - most recent,1.71E+11,North Side Elem School,IL,Fairfield PSD 112,Primary,Regular school,No,22,0,5.5,0,1,0,0,0,805252,192277.828,233918.688,136282.438
mixed - most recent,1.72E+11,North Side Primary Center,IL,Herrin CUSD 4,Primary,Regular school,No,20,0,3,0,1,0,0.5,0,997128,-2,103900,176337.328
mixed - most recent,1.74E+11,North Wamac Grade School,IL,North Wamac SD 186,Primary,Regular school,No,9,0,0,0,0,0,0,0,212472,44788.672,-2,127553.812
mixed - most recent,1.74E+11,North Ward Elementary School,IL,Tuscola CUSD 301,Primary,Regular school,No,27,0,6,0,1,1,0,0,1174181,195520,220713,76000
mixed - most recent,1.71E+11,North-Grand High School,IL,City of Chicago SD 299,High,Regular school,No,63,0,14,4,0,0,0,5,3440251,474141.531,730412.188,368756
mixed - most recent,1.73E+11,Northbrook Junior High School,IL,Northbrook SD 28,Middle,Regular school,No,66,0,7,0,2,1,0,0,5389648,287038.688,534914,389768
mixed - most recent,1.73E+11,Northbrook School,IL,Mendota CCSD 289,Middle,Regular school,No,34,0,9.07,1,1,0.18,0,0,1566219,103974.641,315301.906,215463.484
mixed - most recent,1.70E+11,Northeast Academy East,IL,Kane ROE,High,Other/alternative school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,Northeast Academy North,IL,Kane ROE,High,Other/alternative school,No,,,,,,,,,,,,
mixed - most recent,1.71E+11,Northeast Elem Magnet School,IL,Danville CCSD 118,Primary,Regular school,No,19,0,1,0,1,0,0,0,983491,76304.789,52166,81500
mixed - most recent,1.71E+11,Northeast Elem School,IL,Evergreen Park ESD 124,Primary,Regular school,No,27,0,5,0,1,0.5,0,0,1655771,143255,246462,147296
mixed - most recent,1.74E+11,Northeast Jr High School,IL,Silvis SD 34,Middle,Regular school,No,13,0,2.75,0.5,0.25,0.25,0,0,655320,-2,115525.352,151941.234
mixed - most recent,1.74E+11,Northfield Community Nursery School,IL,Sunset Ridge SD 29,Prekindergarten,Regular school,No,,,,,,,,,,,,
mixed - most recent,1.71E+11,Northlake Middle School,IL,Berkeley SD 87,Middle,Regular school,No,32,0,4.84,1,0,0,0,0,1836672,86225.453,203832.969,196145.547
mixed - most recent,1.70E+11,Northlawn Jr High School,IL,Streator ESD 44,Middle,Regular school,No,42,0,3,0,1,0.4,0.5,0,2873042,359558,140302,220261
mixed - most recent,1.73E+11,Northmoor Primary School,IL,Peoria SD 150,Primary,Regular school,No,26,0,2,0,0,0,0,0,1481524,87553.398,80826.758,192072
mixed - most recent,1.73E+11,Northpoint Elementary School,IL,McLean County USD 5,Primary,Regular school,No,52,3,46.33,0,0.4,0.4,0,0,1505857,1674822.75,1674822.75,1674822.75
mixed - most recent,1.71E+11,Northside College Preparatory Hs,IL,City of Chicago SD 299,High,Regular school,No,64,0,8,4,0,0,1,5,4732604,251848.875,385169.875,349781
mixed - most recent,1.72E+11,Northside Elem School,IL,Geneseo CUSD 228,Primary,Regular school,No,2,0,0,0,0,0,0,0,45385,26420,-2,85000
mixed - most recent,1.71E+11,Northside Learning Center,IL,City of Chicago SD 299,High,Other/alternative school,No,33,0,3,1,0,0,2,0,417134,1610673.75,164688.375,112551
mixed - most recent,1.73E+11,Northside School,IL,Morrison CUSD 6,Primary,Regular school,No,17,0,3,1,0,0,0,0,710427,74409.328,80942.148,100454.609
mixed - most recent,1.73E+11,Northview Elem School,IL,Rantoul City SD 137,Primary,Regular school,No,28,0.5,3.9,0,1.13,0.6,0.2,0,426311,133884.156,139042.141,143511
mixed - most recent,1.73E+11,Northview Elem School,IL,Peru ESD 124,Primary,Regular school,No,34,0,6.25,0,1,0.5,0,0,1318543,0,347181,307604
mixed - most recent,1.70E+11,Northwest Academy,IL,Northwest Sp Ed Cooperative,Missing/not reported,Special education school,No,3,0,0,0,0.8,0,0,0,Not applicable,-2,-2,-2
mixed - most recent,1.72E+11,Northwest Elem School,IL,Lincoln ESD 27,Primary,Regular school,No,15,0,6,0,0,0,0,0,764120,154445,106467,73417
mixed - most recent,1.72E+11,Northwest Elem School,IL,La Salle ESD 122,Primary,Regular school,No,44,0,9,0,1,0.66,0,0,1587197,12273.11,487225.406,289835.188
mixed - most recent,1.71E+11,Northwest Middle School,IL,City of Chicago SD 299,Middle,Regular school,No,28,0,5,1,0,0,0,2,1338686,153988.156,232763.375,241886
mixed - most recent,1.71E+11,Northwest School,IL,Evergreen Park ESD 124,Primary,Regular school,No,26,0,4.5,0,1,0.5,0,0,1685760,115115,218995,135892
mixed - most recent,1.73E+11,Northwestern Elem School,IL,Northwestern CUSD 2,Primary,Regular school,No,17,0,2.66,1,0,0,0,0,658505,34108.012,116218.922,149948.75
mixed - most recent,1.73E+11,Northwestern High School,IL,Northwestern CUSD 2,High,Regular school,No,13,2,2,1,0,0,0,0,517844,-2,80416.844,122970
mixed - most recent,1.73E+11,Northwestern Jr High School,IL,Northwestern CUSD 2,Middle,Regular school,No,6,0,2,1,0,0,0,0,247697,-2,80416.844,122970
mixed - most recent,1.70E+11,Northwood Jr High School,IL,North Shore SD 112,Middle,Regular school,No,48,0,6.9,0,2.5,1,0,0,2860440,127951.742,500482,208000
mixed - most recent,1.74E+11,Northwood Middle School,IL,Woodstock CUSD 200,Middle,Regular school,No,41,0,1.99,0,1,0.4,0,0,2173483,18881,119906,287980
mixed - most recent,1.74E+11,Norton Creek Elementary School,IL,St Charles CUSD 303,Primary,Regular school,No,22,0,10.29,0,1,0,0,0,1449343,270267.719,619323.25,99281.703
mixed - most recent,1.73E+11,Norwood Elem School,IL,Norwood ESD 63,Middle,Regular school,No,13,0,0.5,0,0,0,0,0,675058,49032.898,8560.34,99991.453
mixed - most recent,1.71E+11,Norwood Park Elem School,IL,City of Chicago SD 299,Primary,Regular school,No,24,0,2,1,0,0,0,1,1478195,328506.438,89387.25,128750
mixed - most recent,1.73E+11,Norwood Primary School,IL,Norwood ESD 63,Primary,Regular school,No,15,0,0.5,0,0,0,0,0,648538,116884.328,8560.34,115306.133
mixed - most recent,1.71E+11,Novak Academy,IL,Champaign CUSD 4,High,Other/alternative school,No,7,0,2,1,0,0,0,0,413338,-2,43102,83786
mixed - most recent,1.73E+11,Nuttall Middle School,IL,Robinson CUSD 2,Middle,Regular school,No,25,0,7,1,0,0,1,0,992998,14115,337144,149895
mixed - most recent,1.73E+11,O Fallon High School,IL,O Fallon Twp HSD 203,High,Regular school,No,129,2,42.9,6,5,1,1,2,7203637,-2,2566039.5,1236348
mixed - most recent,1.71E+11,O Neill Middle School,IL,Downers Grove GSD 58,Middle,Regular school,No,35,0,25.7,2,1,0.4,0,0,2993732,194668,837615,204097
mixed - most recent,1.73E+11,O W Huth Middle School,IL,Matteson ESD 162,Middle,Regular school,No,43,0,2,0,1,1,0,0,2491039,87097.383,145418,406432.438
mixed - most recent,1.71E+11,Oak Brook Park District,IL,Butler SD 53,Prekindergarten,Regular school,No,0,0,-2,0,0,0,0,0,Not applicable,-2,-2,-2
mixed - most recent,1.70E+11,Oak Crest School,IL,Beach Park CCSD 3,Primary,Regular school,No,26,0,5,0,1.6,0,0.08,0,1816548,177928.375,177928.375,87550
mixed - most recent,1.72E+11,Oak Elem School,IL,Hinsdale CCSD 181,Primary,Regular school,No,23,0,16.42,1,1,1,0,0,2027404,278950.188,991441,288174.625
mixed - most recent,1.71E+11,Oak Forest High School,IL,Bremen CHSD 228,High,Regular school,No,76,0,12.5,5,3,2,1,3,6511119,535799,1036826.875,1331557
mixed - most recent,1.72E+11,Oak Glen Elem School,IL,Lansing SD 158,Primary,Regular school,No,31,0,6,0,1,0,0,0,1983751,144580,226506,179671
mixed - most recent,1.71E+11,Oak Grove Accelerated School,IL,Decatur SD 61,Primary,Regular school,No,20,0,1.8,0,1,1,0,0,699013,0,88033.648,121153.641
mixed - most recent,1.73E+11,Oak Grove Elem School,IL,Oak Grove SD 68 Green Oaks,Primary,Regular school,No,84,0,50,0,2,2,0,0,7029444,-2,615676,-2
mixed - most recent,1.73E+11,Oak Grove School,IL,Oak Grove SD 68  Bartonville,Primary,Regular school,No,25,0,14,0,0,0,0,0,1289644,79422,202985,81425
mixed - most recent,1.71E+11,Oak Knoll Early Childhood Center,IL,Cary CCSD 26,Primary,Regular school,No,,,,,,,,,,,,
mixed - most recent,1.73E+11,Oak Lawn Comm High School,IL,Oak Lawn CHSD 229,High,Regular school,No,100,0,22.67,0,0,0,0,0,9207799,191617,1353080,1314452
mixed - most recent,1.73E+11,Oak Lawn-Hometown Middle Sch,IL,Oak Lawn-Hometown SD 123,Middle,Regular school,No,73,0,6.8,1,2,0.8,0,0,4508477,158304,461788,465387
mixed - most recent,1.73E+11,Oak Park & River Forest High Sch,IL,Oak Park - River Forest SD 200,High,Regular school,No,231,0,47,15,9,3,1,29.6,25553376,1854979.875,4053076.75,3356629.75
mixed - most recent,1.70E+11,Oak Park Elem School,IL,Aurora East USD 131,Primary,Regular school,No,36,0,2,0,1,0.5,0,0,1746735,335432,56017,163475
mixed - most recent,1.72E+11,Oak Prairie Jr High School,IL,Will County SD 92,Middle,Regular school,No,46,0,1.25,0,1.83,2.25,0,0,2615565,111210.242,84144.312,291345.125
mixed - most recent,1.73E+11,Oak Ridge Elem School,IL,North Palos SD 117,Primary,Regular school,No,49,0,11.18,0,2,2,0,0,2333109,28304.811,571792.25,263919.562
mixed - most recent,1.70E+11,Oak Ridge RSSP,IL,Kane ROE,High,Other/alternative school,No,4,0,1.1,0.5,0.5,0.1,0,0,245797,101919.5,60234.98,77253.352
mixed - most recent,1.71E+11,Oak Ridge School,IL,CUSD 300,High,Other/alternative school,No,4,0,1.1,0.5,0.5,0.1,0,0,245797,101919.57,60234.98,77253.352
mixed - most recent,1.70E+11,Oak Terrace Elem School,IL,North Shore SD 112,Primary,Regular school,No,47,0,7.5,0,5.5,1,0,0,3014466,171613.391,606874.75,229829.109
mixed - most recent,1.74E+11,Oak View Elem School,IL,Valley View CUSD 365U,Primary,Regular school,No,43,0,1,0,1,1,0,0,2332875,-2,86060,472813.375
mixed - most recent,1.74E+11,Oakbrook Elem School,IL,Wood Dale SD 7,Primary,Regular school,No,24,0,11,0,1,0,0.25,0,1451000,140000,479000,204000
mixed - most recent,1.74E+11,Oakdale Elem School,IL,Waukegan CUSD 60,Primary,Regular school,No,33,2,3.1,0,0,1,0,0,1662306,237184.484,152738.516,125504.078
mixed - most recent,1.73E+11,Oakdale Elem School,IL,McLean County USD 5,Primary,Regular school,No,50,5.84,46,0,0.5,0.4,0,0,1301791,1506172.875,1506172.875,1506172.875
mixed - most recent,1.73E+11,Oakdale Grade School,IL,Oakdale CCSD 1,Primary,Regular school,No,6,0,0,0,0,0,0,0,277997,26354,-2,99955
mixed - most recent,1.71E+11,Oakhill Elem School,IL,SD U-46,Primary,Regular school,No,22,1,0.75,0,1,1,0,0,1343306,16257.82,30611.311,102991.227
mixed - most recent,1.70E+11,Oakland Education Center,IL,Franklin-Jefferson Co Sp Ed Dist,Missing/not reported,Special education school,No,2,0,0.33,0,0.5,0.5,0,0,62112,125059.07,25380.1,42427
mixed - most recent,1.71E+11,Oakland Elementary School,IL,Bloomington SD 87,Primary,Regular school,No,31,0,3.5,0,1,0.4,0,0,2008904,-2,168440,79378
mixed - most recent,1.70E+11,Oakland Elementary School,IL,Antioch CCSD 34,Primary,Regular school,No,28,0,9.76,2,1,1,0,0,1876263,107542.922,328729.562,91500
mixed - most recent,1.73E+11,Oakland High School,IL,Oakland CUSD 5,High,Regular school,No,8,0,0.66,0,0.33,0,0,0,359306,-2,29758,73332
mixed - most recent,1.71E+11,Oakton Elem School,IL,Evanston CCSD 65,Primary,Regular school,No,43,0,7,0,2,1,0,0,3150157,172683.578,508257.188,254361.516
mixed - most recent,1.71E+11,Oakwood Grade School,IL,Oakwood CUSD 76,Primary,Regular school,No,32,0,6,1,1,0,0.33,0,1031713,15000,291814,119817
mixed - most recent,1.71E+11,Oakwood High School,IL,Oakwood CUSD 76,High,Regular school,No,22,0,1,1.5,1,0,0.33,0,773386,15338,38000,145319
mixed - most recent,1.71E+11,Oakwood Junior High School,IL,Oakwood CUSD 76,Middle,Regular school,No,11,0,2,0.5,1,0,0,0,325557,19309,57514,65082
mixed - most recent,1.71E+11,Oakwood School,IL,Lemont-Bromberek CSD 113A,Primary,Regular school,No,45,0,5,0,1,1,0,0,3044544,206954,166837.125,205654.703
mixed - most recent,1.73E+11,Oblong Elem School,IL,Oblong CUSD 4,Primary,Regular school,No,28,0,3,0.5,0,0,0,0,844059,74119,106887.398,144207.766
