Unit,Finance_ID,Unit Name, FY 2021 Ending Budget , FY 2022 Proposed Budget , Budget  FY 22 V. FY 20 Ending , FY 2021 Budgeted Positions , FY 2022 Approved Positions , Positions FY 21 V. FY 20 , FY 2020 Ending Budget , FY 2020 Budgeted Positions , FY 2020 Annualized Budget , Budget Difference FY 21 V. FY 20 ,New Budget FTE
U65015,65015,Ombudsman Chicago West," 47,41,704 "," 35,35,429 "," (12,06,275)", -   , -   , -   ," 40,06,442 ", -   , -   ," (12,06,275)",0
U69617,69617,Ombudsman Roseland," 19,88,277 "," 27,84,365 "," 7,96,088 ", -   , -   , -   ," 15,67,107 ", -   , -   ," 7,96,088 ",0
U24771,24771,Oriole Park School," 69,39,165 "," 66,27,279 "," (3,11,886)", 61 , 62 , 1 ," 62,26,904 ", 62 , -   ," (3,11,886)",61.5
U31281,31281,Orozco Academy," 60,63,397 "," 54,72,844 "," (5,90,553)", 58 , 53 , (5)," 54,46,056 ", 56 , -   ," (5,90,553)",53
U28151,28151,Orr Academy," 44,64,545 "," 43,49,463 "," (1,15,082)", 41 , 42 , 1 ," 38,38,983 ", 40 , -   ," (1,15,082)",42
U22331,22331,Orville T Bright Elementary School," 50,69,600 "," 50,90,406 "," 20,806 ", 52 , 48 , (4)," 43,09,557 ", 44 , -   ," 20,806 ",48
U26631,26631,Oscar Depriest School," 82,70,985 "," 77,58,534 "," (5,12,451)", 77 , 75 , (2)," 75,28,143 ", 73 , -   ," (5,12,451)",75
U24401,24401,Oscar F Mayer Elementary School," 75,60,200 "," 74,38,639 "," (1,21,561)", 75 , 75 , -   ," 69,57,744 ", 72 , -   ," (1,21,561)",74.5
U12694,12694,Other Government Funded," 76,73,292 ", -   ," (76,73,292)", -   , -   , -   ," 74,03,180 ", -   , -   ," (76,73,292)",0
U69219,69219,Our Lady Of Grace School," 71,250 ", -   ," (71,250)", -   , -   , -   ," 11,768 ", -   , -   ," (71,250)",0
U69220,69220,Our Lady Of Guadalupe School," 69,094 ", -   ," (69,094)", -   , -   , -   ," 6,111 ", -   , -   ," (69,094)",0
U69216,69216,Our Lady Of Heaven School," 5,502 ", -   ," (5,502)", -   , -   , -   , -   , -   , -   ," (5,502)",0
U69069,69069,Our Lady Of Tepeyac," 1,03,726 ", -   ," (1,03,726)", -   , -   , -   ," 10,281 ", -   , -   ," (1,03,726)",0
U69230,69230,Our Lady Of The Snows School," 58,215 ", -   ," (58,215)", -   , -   , -   , -   , -   , -   ," (58,215)",0
U69405,69405,Our Lady of Tepeyac High School," 94,424 ", -   ," (94,424)", -   , -   , -   ," 6,641 ", -   , -   ," (94,424)",0
