Unit,Finance_ID,Unit Name, FY 2021 Ending Budget , FY 2022 Proposed Budget , Budget  FY 22 V. FY 20 Ending , FY 2021 Budgeted Positions , FY 2022 Approved Positions , Positions FY 21 V. FY 20 , FY 2020 Ending Budget , FY 2020 Budgeted Positions , FY 2020 Annualized Budget , Budget Difference FY 21 V. FY 20 ,New Budget FTE
U66442,66442,Urban Prep Charter Academy for Young Men High School - Bronzeville Camp," 42,87,068 "," 48,91,513 "," 6,04,445 ", 2 , 2 , -   ," 42,54,818 ", 2 , -   ," 6,04,445 ",2
U63071,63071,Urban Prep Charter Academy for Young Men High School - West Campus, -   , 100 , 100 , -   , -   , -   ," 7,659 ", 2 , -   , 100 ,0
U26891,26891,Velma Thomas Early Childhood Center," 34,03,797 "," 36,63,894 "," 2,60,097 ", 37 , 37 , -   ," 30,94,709 ", 36 , -   ," 2,60,097 ",37
U69032,69032,Village Leadership Academy," 84,434 ", -   ," (84,434)", -   , -   , -   ," 34,560 ", -   , -   ," (84,434)",0
U23361,23361,Virgil Grissom School," 43,20,964 "," 39,67,667 "," (3,53,297)", 36 , 35 , (1)," 36,17,739 ", 34 , -   ," (3,53,297)",35
U69296,69296,Visitation Campus School," 58,306 ", -   ," (58,306)", -   , -   , -   ," 1,120 ", -   , -   ," (58,306)",0
U29401,29401,Walt Disney Magnet School," 1,48,09,662 "," 1,38,63,431 "," (9,46,231)", 128 , 134 , 6 ," 1,33,04,369 ", 128 , -   ," (9,46,231)",134
U46681,46681,Walter Henri Dyett High School for the Arts," 73,08,771 "," 69,24,485 "," (3,84,286)", 62 , 69 , 7 ," 61,80,772 ", 53 , -   ," (3,84,286)",68.5
U29231,29231,Walter L Newberry Mathematics & Science Academy," 62,02,249 "," 58,08,293 "," (3,93,956)", 53 , 53 , -   ," 57,05,564 ", 59 , -   ," (3,93,956)",53
U70020,70020,Walter Payton College Preperatory HS," 1,25,60,139 "," 1,23,27,717 "," (2,32,422)", 106 , 109 , 3 ," 1,14,25,990 ", 106 , -   ," (2,32,422)",108.5
U23451,23451,Walter Q Gresham Elementary School," 46,03,269 "," 46,60,690 "," 57,421 ", 48 , 49 , 1 ," 39,10,019 ", 44 , -   ," 57,421 ",49
U30031,30031,Walter S Christopher School," 98,87,965 "," 1,00,88,017 "," 2,00,052 ", 112 , 112 , -   ," 88,03,423 ", 106 , -   ," 2,00,052 ",112
U25401,25401,Washington D Smyser School," 94,58,474 "," 86,83,791 "," (7,74,683)", 78 , 79 , 1 ," 79,74,894 ", 73 , -   ," (7,74,683)",79
U24881,24881,Washington Irving School," 53,06,017 "," 48,82,567 "," (4,23,450)", 50 , 48 , (2)," 46,06,677 ", 46 , -   ," (4,23,450)",48
U51071,51071,Wells Community Academy High School," 62,05,019 "," 56,38,888 "," (5,66,131)", 57 , 53 , (4)," 53,77,766 ", 55 , -   ," (5,66,131)",52.5
U24811,24811,Wells Preparatory School," 50,15,912 "," 49,07,792 "," (1,08,120)", 47 , 45 , (2)," 42,14,559 ", 40 , -   ," (1,08,120)",45
U24131,24131,Wendell E Green School," 46,79,838 "," 51,22,254 "," 4,42,416 ", 46 , 49 , 3 ," 39,75,001 ", 34 , -   ," 4,42,416 ",48.5
U46261,46261,Wendell Phillips Academy," 80,66,127 "," 78,92,150 "," (1,73,977)", 72 , 73 , 1 ," 81,46,902 ", 84 , -   ," (1,73,977)",73
U23641,23641,Wendell Smith School," 45,55,849 "," 45,81,653 "," 25,805 ", 43 , 46 , 3 ," 41,45,091 ", 38 , -   ," 25,805 ",46
U24721,24721,West Park Academy," 66,96,914 "," 62,52,490 "," (4,44,424)", 57 , 57 , 1 ," 57,53,354 ", 54 , -   ," (4,44,424)",57
U22381,22381,West Ridge Elementary School," 81,64,613 "," 78,72,042 "," (2,92,571)", 80 , 80 , -   ," 74,67,031 ", 79 , -   ," (2,92,571)",79.5
U47101,47101,Whitney M Young Magnet High School," 2,23,99,519 "," 2,02,62,258 "," (21,37,261)", 179 , 183 , 4 ," 1,94,10,356 ", 174 , -   ," (21,37,261)",182.5
U25881,25881,Wildwood School," 55,25,177 "," 52,65,847 "," (2,59,329)", 50 , 49 , (1)," 47,70,889 ", 44 , -   ," (2,59,329)",49
U26021,26021,Willa Cather School," 54,72,073 "," 58,40,942 "," 3,68,870 ", 52 , 57 , 5 ," 44,96,994 ", 44 , -   ," 3,68,870 ",56.5
U24732,24732,William B Ogden Branch, 25 , -   , (25), -   , -   , -   , -   , -   , -   , (25),0
U24731,24731,William B Ogden School," 2,04,31,151 "," 1,87,47,712 "," (16,83,439)", 190 , 184 , (6)," 1,87,13,687 ", 200 , -   ," (16,83,439)",184
U29241,29241,William Bishop Owen Scholastic Academy School," 35,10,838 "," 36,91,784 "," 1,80,946 ", 30 , 32 , 2 ," 31,19,374 ", 29 , -   ," 1,80,946 ",32
U23371,23371,William C Goudy School," 78,35,386 "," 77,10,607 "," (1,24,779)", 70 , 73 , 3 ," 71,75,775 ", 70 , -   ," (1,24,779)",73
U25091,25091,William Claude Reavis School," 41,53,677 "," 41,43,034 "," (10,643)", 38 , 38 , -   ," 31,77,507 ", 33 , -   ," (10,643)",38
U26601,26601,William E B Dubois School," 37,04,144 "," 36,26,896 "," (77,248)", 34 , 33 , (1)," 31,61,620 ", 30 , -   ," (77,248)",33
U22941,22941,William E Dever School," 81,29,340 "," 75,65,156 "," (5,64,184)", 74 , 74 , -   ," 65,41,525 ", 63 , -   ," (5,64,184)",74
U23541,23541,William F Finkl School," 48,96,215 "," 46,63,744 "," (2,32,471)", 49 , 48 , (2)," 43,60,473 ", 47 , -   ," (2,32,471)",47.5
U23801,23801,William G Hibbard School," 1,01,73,249 "," 93,34,424 "," (8,38,826)", 84 , 85 , 1 ," 89,02,192 ", 86 , -   ," (8,38,826)",85
U22351,22351,William H Brown Elementary School," 57,77,531 "," 46,38,602 "," (11,38,929)", 47 , 45 , (2)," 46,56,051 ", 44 , -   ," (11,38,929)",45
U25021,25021,William H Prescott School," 56,05,424 "," 52,81,947 "," (3,23,477)", 50 , 50 , -   ," 47,64,889 ", 48 , -   ," (3,23,477)",50
U25071,25071,William H Ray School," 72,82,958 "," 68,84,101 "," (3,98,858)", 72 , 69 , (3)," 67,62,706 ", 70 , -   ," (3,98,858)",68.5
U25191,25191,William H Ryder Math/Science Specialty School," 67,31,106 "," 69,15,457 "," 1,84,351 ", 69 , 72 , 3 ," 58,59,298 ", 63 , -   ," 1,84,351 ",72
U25301,25301,William H Seward Communication Arts Academy," 68,34,575 "," 64,46,622 "," (3,87,952)", 61 , 59 , (2)," 64,50,348 ", 65 , -   ," (3,87,952)",59
U46311,46311,William Howard Taft High School," 3,71,36,795 "," 3,68,11,221 "," (3,25,574)", 302 , 343 , 41 ," 3,07,80,766 ", 280 , -   ," (3,25,574)",343
U46041,46041,William J Bogan High School," 1,07,73,200 "," 1,00,41,305 "," (7,31,895)", 95 , 94 , (1)," 97,55,868 ", 99 , -   ," (7,31,895)",94
U24761,24761,William J Onahan School," 70,23,607 "," 67,16,037 "," (3,07,569)", 58 , 61 , 3 ," 61,00,390 ", 56 , -   ," (3,07,569)",61
U47021,47021,William Jones College Prep High School," 1,83,70,569 "," 1,72,36,145 "," (11,34,424)", 159 , 162 , 3 ," 1,60,05,042 ", 159 , -   ," (11,34,424)",161.7
U25541,25541,William K New Sullivan Elementary School," 74,00,118 "," 72,36,418 "," (1,63,700)", 70 , 69 , (1)," 63,53,385 ", 64 , -   ," (1,63,700)",68.5
U23401,23401,William P Gray School," 1,14,00,141 "," 1,07,75,088 "," (6,25,053)", 94 , 95 , 1 ," 1,05,39,777 ", 99 , -   ," (6,25,053)",95
U24681,24681,William P Nixon School," 80,93,035 "," 72,64,124 "," (8,28,911)", 72 , 67 , (5)," 74,00,483 ", 71 , -   ," (8,28,911)",67
U24911,24911,William Penn School," 45,52,635 "," 42,32,472 "," (3,20,163)", 40 , 42 , 2 ," 38,17,846 ", 41 , -   ," (3,20,163)",42
U25341,25341,William T. Sherman Elementary School of Excellence," 38,27,028 "," 37,10,991 "," (1,16,037)", 41 , 41 , -   ," 31,38,240 ", 36 , -   ," (1,16,037)",41
U22611,22611,William W Carter School," 40,82,559 "," 38,02,365 "," (2,80,194)", 36 , 34 , (2)," 33,88,236 ", 35 , -   ," (2,80,194)",34
U30121,30121,Wilma G Rudolph Learning Center," 42,37,596 "," 44,92,692 "," 2,55,096 ", 46 , 49 , 3 ," 38,35,198 ", 48 , -   ," 2,55,096 ",48.5
U69333,69333,Wolcott School," 1,01,090 ", -   ," (1,01,090)", -   , -   , -   , -   , -   , -   ," (1,01,090)",0
U24611,24611,Wolfgang A Mozart School," 69,52,027 "," 65,69,011 "," (3,83,016)", 65 , 63 , (3)," 61,93,891 ", 61 , -   ," (3,83,016)",62.5
U69284,69284,Wonder Montessori School," 3,060 ", -   ," (3,060)", -   , -   , -   , -   , -   , -   ," (3,060)",0
U23631,23631,Woodlawn Community School," 28,74,745 "," 29,84,124 "," 1,09,379 ", 23 , 24 , 1 ," 23,50,723 ", 21 , -   ," 1,09,379 ",23.5
U52011,52011,World Language Academy High School," 48,50,484 "," 50,28,859 "," 1,78,374 ", 39 , 44 , 5 ," 40,65,592 ", 38 , -   ," 1,78,374 ",43.5
U66108,66108,YCCS - ASPIRA Antonia Pantoja Alternative HS," 2,427 ", -   ," (2,427)", -   , -   , -   , -   , -   , -   ," (2,427)",0
U66109,66109,YCCS - Association House El Cuarto Ano HS," 1,699 ", -   ," (1,699)", -   , -   , -   , -   , -   , -   ," (1,699)",0
U66631,66631,YCCS - Chatham Academy," 1,24,685 "," 99,183 "," (25,502)", 2 , 2 , -   ," 94,469 ", 2 , -   ," (25,502)",2
U66614,66614,YCCS - Community Youth Development Institute HS," 52,857 "," 44,348 "," (8,508)", 1 , 1 , -   ," 36,975 ", 1 , -   ," (8,508)",1
U66615,66615,YCCS - Dr. Pedro Albizu Campos Puerto Rican HS," 1,941 ", -   ," (1,941)", -   , -   , -   , -   , -   , -   ," (1,941)",0
U66617,66617,YCCS - Innovations of Arts Integration HS," 1,04,228 "," 86,576 "," (17,653)", 2 , 2 , -   ," 78,751 ", 2 , -   ," (17,653)",2
U66618,66618,YCCS - Jane Addams Alternative HS," 71,531 "," 68,648 "," (2,883)", 2 , 2 , -   ," 56,523 ", 2 , -   ," (2,883)",2
U66619,66619,YCCS - Latino Youth Alternative HS," 2,791 ", -   ," (2,791)", -   , -   , -   , -   , -   , -   ," (2,791)",0
U66621,66621,YCCS - Olive Harvey Middle College HS, 121 , -   , (121), -   , -   , -   , -   , -   , -   , (121),0
U66623,66623,YCCS - Sullivan House Alternative HS," 80,204 "," 67,255 "," (12,948)", 2 , 2 , -   ," 60,723 ", 2 , -   ," (12,948)",2
U66625,66625,YCCS - Truman Middle College HS," 5,460 ", -   ," (5,460)", -   , -   , -   , -   , -   , -   ," (5,460)",0
U66627,66627,YCCS - West Town Academy Alternative HS," 21,523 "," 46,294 "," 24,771 ", 1 , 1 , -   ," 31,151 ", 1 , -   ," 24,771 ",1
U66629,66629,YCCS - Youth Connection Leadership Academy HS," 91,629 "," 74,008 "," (17,621)", 2 , 2 , -   ," 68,979 ", 2 , -   ," (17,621)",2
U66107,66107,YCCS- McKinley Lakeside Leadership HS," 73,341 "," 67,120 "," (6,221)", 2 , 2 , -   ," 61,383 ", 2 , -   ," (6,221)",2
U66628,66628,YCCS-Westside Holistic Leadership Acad HS, 243 , -   , (243), -   , -   , -   , -   , -   , -   , (243),0
U69201,69201,Yeshiva Derech HaTorah of Chicago," 7,136 ", -   ," (7,136)", -   , -   , -   , -   , -   , -   ," (7,136)",0
U69634,69634,Yeshiva Gedola of the Midwest Eitz Chaim, 860 , -   , (860), -   , -   , -   , -   , -   , -   , (860),0
U69047,69047,Yeshiva Ohr Baruch," 1,85,902 ", -   ," (1,85,902)", -   , -   , -   ," 52,467 ", -   , -   ," (1,85,902)",0
U69004,69004,Yeshivas Meor HaTorah of Chicago," 43,730 ", -   ," (43,730)", -   , -   , -   , 961 , -   , -   ," (43,730)",0
U69442,69442,Yeshivas Tiferes TZVI," 4,41,800 ", -   ," (4,41,800)", -   , -   , -   ," 1,12,082 ", -   , -   ," (4,41,800)",0
U66171,66171,Young Women's Leadership Charter School, -   , -   , -   , -   , -   , -   ," 13,388 ", 2 , -   , -   ,0
U66101,66101,Youth Connection Charter School (YCCS)," 5,78,37,139 "," 5,00,67,999 "," (77,69,140)", -   , -   , -   ," 5,18,27,677 ", -   , -   ," (77,69,140)",0
