(Indicator name),,,,"Population (residents), 2017-2021","Population (residents), 2016-2020","Population, Infants (0-4 years) (residents), 2017-2021","Population, Infants (0-4 years) (residents), 2016-2020","Population, Juveniles (5-17 years) (residents), 2017-2021","Population, Juveniles (5-17 years) (residents), 2016-2020","Population, Non-Hispanic Black (residents), 2017-2021","Population, Non-Hispanic Black (residents), 2016-2020","Population, Hispanic or Latino (residents), 2017-2021","Population, Hispanic or Latino (residents), 2016-2020",,,"Low birthweight (count of births), 2013-2017","Low birthweight rate (% of births), 2013-2017","Very low birthweight (count of births), 2013-2017","Very low birthweight rate (% of births), 2013-2017","Uninsured residents (residents), 2017-2021","Uninsured rate (% of residents), 2017-2021","Early and adequate prenatal care (count of births), 2013-2017","Early and adequate prenatal care rate (% of births), 2013-2017","Vacant (% of housing units), 2017-2021","Single-parent households (% of households), 2017-2021","Community belonging rate (% of adults), 2016-2018","Community belonging (count of adults), 2016-2018","Community belonging (count of adults), 2020-2021","Community belonging rate (% of adults), 2020-2021","Food stamps (SNAP) (% of households), 2017-2021","Households in poverty not receiving food stamps (SNAP) (% of households below the poverty line), 2017-2021","Mean age at first birth (age), 2013-2017","Mean age at first birth (age), 2012-2016","Rent-burdened (% of renter-occupied housing units), 2017-2021","Severely rent-burdened (% of renter-occupied housing units), 2017-2021","Homicide mortality (count of deaths), 2015-2019","Homicide mortality rate (per 100,000 population), 2015-2019","Firearm-related homicide mortality (count of deaths), 2015-2019","Firearm-related homicide mortality rate (per 100,000 population), 2015-2019","Drug-induced mortality (count of deaths), 2015-2019","Drug-induced mortality rate (per 100,000 population), 2015-2019","Drug overdose mortality (count of deaths), 2015-2019","Drug overdose mortality rate (per 100,000 population), 2015-2019"
Community area,Calumet Heights,48,13085," 12,841 "," 12,340 ", 671 , 377 ," 1,481 "," 1,433 "," 12,219 "," 11,530 ", 399 , 543 ,-87.57272,41.729673,87,13.9,20,3.2,745.6057326,5.88556315,317,58.7,10.76533138,8.210757574,66.3,6800,6000,54.2892461,17.61384428,45.5783089,26.217391,26.217391,34.48987318,29.23255141,16,28.4,15,27.6,17,20.8,16,19.5
Community area,Washington Heights,73,25075," 26,568 "," 26,829 "," 1,398 "," 1,313 "," 4,123 "," 4,275 "," 25,524 "," 25,598 ", 262 , 393 ,-87.648897,41.717495,201,13.9,47,3.3,2140.549444,8.322540709,794,62.7,11.82873955,9.034933214,63.2,12000,9200,43.23619226,27.68631858,38.03539971,27.967742,28.030303,58.51073544,38.0873104,58,49.7,51,44.4,45,30.2,44,29.5
Community area,Riverdale,54,7229," 7,893 "," 7,378 ", 855 , 845 ," 2,145 "," 1,771 "," 7,526 "," 7,020 ", 223 , 278 ,-87.602849,41.660137,77,13.4,23,4,689.3439621,8.762128237,246,49.4,9.344914189,37.57389684,27.7,900,4200,30.79520849,63.79220445,22.35295709,27.333333,27.863636,36.60837165,22.4027042,23,74.2,21,65.4,14,59.9,14,59.9
Community area,South Shore,43,45611," 45,348 "," 43,430 "," 2,836 "," 2,946 "," 7,529 "," 7,012 "," 42,328 "," 40,508 "," 1,256 "," 1,180 ",-87.57279,41.761583,474,13.1,112,3.1,3445.937422,7.66967933,1741,57.7,18.88462482,13.30498887,46.1,15800,12400,38.3236476,38.72401881,33.8994511,30.666667,30.666667,51.48477759,31.65113503,119,45.8,106,40.6,90,30.5,88,29.9
Community area,West Pullman,53,25788," 26,628 "," 26,160 "," 1,660 "," 1,727 "," 4,824 "," 4,434 "," 24,069 "," 23,581 "," 1,780 "," 1,806 ",-87.635745,41.67382,263,12.8,38,1.9,2772.20526,10.60359015,944,52.4,19.33050923,14.71913722,54.9,11800,8500,41.55399149,32.66419431,33.44568442,27.935484,27.935484,49.24905276,34.13948726,77,53.2,64,44.7,59,39.7,58,39.2
Community area,South Chicago,46,25975," 29,156 "," 28,676 "," 1,905 "," 1,936 "," 5,861 "," 5,902 "," 21,123 "," 21,557 "," 6,386 "," 5,964 ",-87.551435,41.741243,281,12.7,72,3.2,2827.021183,9.715128034,995,52.4,21.82693261,14.51829071,47.3,8100,5100,38.95701388,37.7355754,31.21394243,28.032258,27.733333,51.73279229,28.60663184,79,51.1,67,43.9,70,44.2,70,44.2
Community area,Grand Boulevard,38,24586," 24,397 "," 23,666 "," 1,489 "," 1,591 "," 3,549 "," 3,539 "," 21,476 "," 21,197 ", 806 , 771 ,-87.61786,41.812947,205,12.4,43,2.6,1616.734392,6.755379533,854,62.9,10.10095131,12.95474224,56.1,9000,4800,40.4422231,37.04506098,27.49151651,29.5625,29,50.64255875,26.93735903,41,36.6,37,33.3,39,34.9,39,34.9
Community area,Douglas,35,17630," 18,631 "," 18,823 "," 1,085 "," 1,103 "," 1,975 "," 2,245 "," 12,197 "," 12,487 "," 1,177 "," 1,096 ",-87.61868,41.835122,142,12,37,3.1,1458.524847,7.984599479,595,59.3,9.069167546,10.25873624,59.4,8700,7200,49.68395792,30.6110468,50.56929638,29.625,29.5625,42.28024693,23.11407607,22,21.8,22,21.8,35,37.7,34,36.8
Community area,Avalon Park,45,9359," 9,645 "," 9,497 ", 534 , 591 ," 1,208 "," 1,093 "," 9,007 "," 8,997 ", 42 , 1 ,-87.586347,41.744197,61,11.8,15,2.9,864.5808645,8.960023923,258,58.6,14.55130667,9.224365271,54.8,5700,8900,57.24144466,19.26523967,44.18984591,27.592593,27.666667,56.98617437,43.3337372,16,36.8,14,33.8,17,30.3,17,30.3
Community area,Chicago Lawn,66,55789," 51,037 "," 51,112 "," 3,921 "," 4,149 "," 8,974 "," 9,593 "," 19,945 "," 20,308 "," 28,815 "," 28,325 ",-87.695667,41.771849,475,10.8,108,2.5,8040.252291,15.93679694,2507,63,11.06307791,9.961612941,58.7,25400,12400,36.03452894,32.1889909,39.58221625,29.59375,29.59375,60.7614804,29.60096712,95,32.4,83,27.7,77,30.9,76,30.5
