,School_ID,Wards,crime_capita,Year,Attendance
1786,400054,12,0.0651090909090909,2013,94.975
1795,400054,12,0.0665636363636363,2014,95.65
1804,400054,12,0.0604727272727272,2015,95.725
1813,400054,12,0.0621818181818181,2016,95.15
1822,400054,12,0.0580727272727272,2017,94.85
1831,400054,12,0.0571272727272727,2018,94.575
1840,400054,12,0.0586,2019,94.725
1858,400054,12,0.0465818181818181,2021,85.075
1867,400054,12,0.0536545454545454,2022,88.5
1893,609692,13,0.0695272727272727,2013,83.45
1895,400117,13,0.0695272727272727,2013,92.1
1896,400062,13,0.0695272727272727,2013,99.0
1897,400033,13,0.0695272727272727,2013,85.8
1902,400061,13,0.0695272727272727,2013,97.075
1911,609692,13,0.0636,2014,86.975
1913,400117,13,0.0636,2014,91.55
1914,400062,13,0.0636,2014,93.45
1915,400033,13,0.0636,2014,90.35
1920,400061,13,0.0636,2014,93.95
1929,609692,13,0.0616363636363636,2015,89.975
1931,400117,13,0.0616363636363636,2015,92.23333333333332
1932,400062,13,0.0616363636363636,2015,94.45
1933,400033,13,0.0616363636363636,2015,91.275
1938,400061,13,0.0616363636363636,2015,94.35
1947,609692,13,0.0658545454545454,2016,90.625
1949,400117,13,0.0658545454545454,2016,91.85
1950,400062,13,0.0658545454545454,2016,92.125
1951,400033,13,0.0658545454545454,2016,90.25
1956,400061,13,0.0658545454545454,2016,91.9
1965,609692,13,0.0584727272727272,2017,89.35
1967,400117,13,0.0584727272727272,2017,90.35
1968,400062,13,0.0584727272727272,2017,91.45
1969,400033,13,0.0584727272727272,2017,87.95
1974,400061,13,0.0584727272727272,2017,90.475
1983,609692,13,0.0536363636363636,2018,88.75
1985,400117,13,0.0536363636363636,2018,91.275
1986,400062,13,0.0536363636363636,2018,90.775
1987,400033,13,0.0536363636363636,2018,88.975
1992,400061,13,0.0536363636363636,2018,90.8
2001,609692,13,0.0412545454545454,2019,85.575
2003,400117,13,0.0412545454545454,2019,92.8
2004,400062,13,0.0412545454545454,2019,91.475
2005,400033,13,0.0412545454545454,2019,87.7
2010,400061,13,0.0412545454545454,2019,92.175
2037,609692,13,0.0350545454545454,2021,82.825
2039,400117,13,0.0350545454545454,2021,74.225
2040,400062,13,0.0350545454545454,2021,79.35
2041,400033,13,0.0350545454545454,2021,81.2
2046,400061,13,0.0350545454545454,2021,82.05
2055,609692,13,0.0418363636363636,2022,76.975
2057,400117,13,0.0418363636363636,2022,83.575
2058,400062,13,0.0418363636363636,2022,79.825
2059,400033,13,0.0418363636363636,2022,77.6
2064,400061,13,0.0418363636363636,2022,80.94999999999999
2094,400058,14,0.0769090909090909,2013,97.4
2096,400118,14,0.0769090909090909,2013,91.3
2097,609748,14,0.0769090909090909,2013,96.35
2100,400059,14,0.0769090909090909,2013,93.75
2106,400128,14,0.0769090909090909,2013,82.60000000000001
2111,610499,14,0.0769090909090909,2013,78.575
2117,400058,14,0.0711272727272727,2014,92.65
2119,400118,14,0.0711272727272727,2014,90.85
2120,609748,14,0.0711272727272727,2014,94.225
2123,400059,14,0.0711272727272727,2014,90.975
2129,400128,14,0.0711272727272727,2014,69.4
2134,610499,14,0.0711272727272727,2014,79.025
2140,400058,14,0.0688,2015,97.0
2142,400118,14,0.0688,2015,91.2
2143,609748,14,0.0688,2015,86.625
2146,400059,14,0.0688,2015,91.075
2152,400128,14,0.0688,2015,62.5
2157,610499,14,0.0688,2015,78.8
2163,400058,14,0.0652,2016,95.95
2165,400118,14,0.0652,2016,90.725
2166,609748,14,0.0652,2016,92.45
2169,400059,14,0.0652,2016,91.575
2175,400128,14,0.0652,2016,60.53333333333333
2180,610499,14,0.0652,2016,80.65
2186,400058,14,0.0597272727272727,2017,93.2
2188,400118,14,0.0597272727272727,2017,88.875
2189,609748,14,0.0597272727272727,2017,96.975
2192,400059,14,0.0597272727272727,2017,90.2
2198,400128,14,0.0597272727272727,2017,59.55
2203,610499,14,0.0597272727272727,2017,83.075
2209,400058,14,0.0561090909090909,2018,95.9
2211,400118,14,0.0561090909090909,2018,87.3
2212,609748,14,0.0561090909090909,2018,71.05
2215,400059,14,0.0561090909090909,2018,92.05
2221,400128,14,0.0561090909090909,2018,56.925
2226,610499,14,0.0561090909090909,2018,85.75
2232,400058,14,0.0537818181818181,2019,92.4
2234,400118,14,0.0537818181818181,2019,87.375
2235,609748,14,0.0537818181818181,2019,73.825
2238,400059,14,0.0537818181818181,2019,96.325
2244,400128,14,0.0537818181818181,2019,51.7
2249,610499,14,0.0537818181818181,2019,81.975
2278,400058,14,0.0434181818181818,2021,79.525
2280,400118,14,0.0434181818181818,2021,50.125
2281,609748,14,0.0434181818181818,2021,62.975
2284,400059,14,0.0434181818181818,2021,77.85
2290,400128,14,0.0434181818181818,2021,51.06666666666666
2295,610499,14,0.0434181818181818,2021,65.975
2301,400058,14,0.0567818181818181,2022,78.5
2303,400118,14,0.0567818181818181,2022,71.65
2304,609748,14,0.0567818181818181,2022,61.475
2307,400059,14,0.0567818181818181,2022,71.775
2313,400128,14,0.0567818181818181,2022,50.63333333333333
2318,610499,14,0.0567818181818181,2022,75.95
2337,609718,15,0.1513818181818181,2013,87.1
2340,609694,15,0.1513818181818181,2013,88.375
2347,609718,15,0.1258545454545454,2014,88.25
2350,609694,15,0.1258545454545454,2014,88.425
2357,609718,15,0.1242363636363636,2015,88.475
2360,609694,15,0.1242363636363636,2015,90.25
2367,609718,15,0.1123636363636363,2016,89.7
