,ward,year,size,crime_capita
69,7,2015,7592,0.13803636363636362
70,7,2016,6898,0.12541818181818182
71,7,2017,6878,0.12505454545454545
72,7,2018,6959,0.12652727272727274
73,7,2019,7549,0.13725454545454546
74,7,2020,6508,0.11832727272727273
75,7,2021,6372,0.11585454545454546
76,7,2022,7532,0.13694545454545454
77,8,2012,9221,0.16765454545454544
78,8,2013,8659,0.15743636363636362
79,8,2014,7982,0.14512727272727272
80,8,2015,7216,0.1312
81,8,2016,7187,0.13067272727272727
82,8,2017,7054,0.12825454545454545
83,8,2018,7147,0.12994545454545456
84,8,2019,8160,0.14836363636363636
85,8,2020,7217,0.13121818181818182
86,8,2021,7066,0.12847272727272727
87,8,2022,7377,0.13412727272727273
88,9,2012,8750,0.1590909090909091
89,9,2013,7837,0.14249090909090908
90,9,2014,7218,0.13123636363636362
91,9,2015,6593,0.11987272727272727
92,9,2016,6889,0.12525454545454545
93,9,2017,7013,0.1275090909090909
94,9,2018,7368,0.13396363636363637
95,9,2019,7887,0.1434
96,9,2020,6679,0.12143636363636363
97,9,2021,6412,0.11658181818181818
98,9,2022,6743,0.1226
99,10,2012,6160,0.112
100,10,2013,5476,0.09956363636363637
101,10,2014,5050,0.09181818181818181
102,10,2015,4674,0.08498181818181819
103,10,2016,4540,0.08254545454545455
104,10,2017,4420,0.08036363636363636
105,10,2018,4112,0.07476363636363637
106,10,2019,3737,0.06794545454545454
107,10,2020,3382,0.06149090909090909
108,10,2021,3612,0.06567272727272727
109,10,2022,3988,0.07250909090909091
110,11,2012,4659,0.08470909090909091
111,11,2013,4153,0.07550909090909091
112,11,2014,3702,0.06730909090909092
113,11,2015,3450,0.06272727272727273
114,11,2016,3494,0.06352727272727272
115,11,2017,3360,0.06109090909090909
116,11,2018,3257,0.059218181818181816
117,11,2019,3108,0.05650909090909091
118,11,2020,2750,0.05
119,11,2021,2608,0.04741818181818182
120,11,2022,3183,0.05787272727272727
121,12,2012,4081,0.0742
122,12,2013,3581,0.06510909090909091
123,12,2014,3661,0.06656363636363637
124,12,2015,3326,0.060472727272727275
125,12,2016,3420,0.06218181818181818
126,12,2017,3194,0.058072727272727276
127,12,2018,3142,0.05712727272727273
128,12,2019,3223,0.0586
129,12,2020,2623,0.04769090909090909
130,12,2021,2562,0.04658181818181818
131,12,2022,2951,0.053654545454545455
132,13,2012,4265,0.07754545454545454
133,13,2013,3824,0.06952727272727273
134,13,2014,3498,0.0636
135,13,2015,3390,0.061636363636363635
136,13,2016,3622,0.06585454545454546
137,13,2017,3216,0.05847272727272727
138,13,2018,2950,0.053636363636363635
139,13,2019,2269,0.04125454545454545
140,13,2020,1884,0.034254545454545454
141,13,2021,1928,0.035054545454545456
142,13,2022,2301,0.04183636363636364
143,14,2012,4604,0.08370909090909091
144,14,2013,4230,0.07690909090909091
145,14,2014,3912,0.07112727272727273
146,14,2015,3784,0.0688
147,14,2016,3586,0.0652
148,14,2017,3285,0.059727272727272726
149,14,2018,3086,0.05610909090909091
150,14,2019,2958,0.05378181818181818
151,14,2020,2429,0.04416363636363636
152,14,2021,2388,0.04341818181818182
153,14,2022,3123,0.05678181818181818
154,15,2012,9791,0.17801818181818183
155,15,2013,8326,0.15138181818181817
156,15,2014,6922,0.12585454545454544
157,15,2015,6833,0.12423636363636363
158,15,2016,6180,0.11236363636363636
159,15,2017,6258,0.11378181818181818
160,15,2018,5727,0.10412727272727272
161,15,2019,3818,0.06941818181818182
162,15,2020,3190,0.058
163,15,2021,2984,0.05425454545454545
164,15,2022,3208,0.05832727272727273
165,16,2012,9617,0.17485454545454546
166,16,2013,8652,0.1573090909090909
167,16,2014,7580,0.1378181818181818
168,16,2015,7109,0.12925454545454546
169,16,2016,6845,0.12445454545454546
170,16,2017,6474,0.11770909090909092
171,16,2018,6833,0.12423636363636363
172,16,2019,7961,0.14474545454545454
173,16,2020,6643,0.12078181818181818
174,16,2021,6141,0.11165454545454545
175,16,2022,5857,0.1064909090909091
176,17,2012,11406,0.2073818181818182
177,17,2013,10350,0.18818181818181817
178,17,2014,9482,0.1724
179,17,2015,9414,0.17116363636363635
180,17,2016,8680,0.15781818181818183
181,17,2017,8755,0.15918181818181817
182,17,2018,8911,0.1620181818181818
183,17,2019,8411,0.15292727272727272
184,17,2020,7199,0.13089090909090909
185,17,2021,6534,0.1188
186,17,2022,6675,0.12136363636363637
187,18,2012,5421,0.09856363636363637
188,18,2013,5006,0.09101818181818182
