ca_id,comm_area,med_age,covid_idx,perc_chg_pop,perc_black_hispanic,perc_pop_lforce,perc_emp,med_inc,inc_p_cap,med_rent,perc_hh_comp,perc_hh_internet,highly_walkable_pop_pct,highly_walkable_emp_pct
33,Near South Side,37.4720715,15.0,202.81838258491956,26.67576584774037,69.21822869275098,99.26603494550037,115993.1326,88783.76137,1948.883162,95.71446684417396,93.93939393939394,0.998729304,0.811452639
43,South Shore,37.28693561,45.6,-12.322113197738645,95.27303754266212,51.222599469093666,84.72546412020382,35886.77751,27282.81953,930.6204519,82.64719589871058,77.97887214540935,0.999741397,0.999650105
77,Edgewater,37.07107611,17.3,-9.48905109489051,29.141464910636707,62.44015470328659,94.39532853088846,58283.37875,42485.67865,1128.703469,88.97131228254447,85.97452898312874,1.0,1.0
25,Austin,36.97618685,52.9,-17.84270848400793,92.72979710327853,45.451389984538196,86.61020087012868,35555.36685,21384.81546,978.327787,77.13863484273924,70.85935757305376,0.997275537,0.925599082
76,O'Hare,36.70826483,19.0,15.027861123017574,14.87186445111619,59.514678839383585,95.75470524608939,60440.97616,35578.00231,1220.293108,95.7913824780773,89.99945870412472,0.788202003,0.914285714
3,Uptown,36.502262,24.4,-10.02187219713301,33.07318385951928,65.02110911139893,96.5931137956903,57878.09524,42111.65248,1090.966667,88.86233121216824,85.06596306068602,0.999524648,0.987426531
70,Ashburn,36.46160558,45.1,3.8247776879547293,87.76980094168104,49.939396764719596,89.52625437572928,71951.49017,25905.19106,1253.04878,93.12882485087923,88.5583701293671,0.8720485,0.587266553
16,Irving Park,36.20763142,30.3,-11.430179220026261,43.892246847250206,60.5495858518021,94.04750901192347,72045.04095,38887.99043,1170.727338,93.03251803954643,88.0798425639584,1.0,1.0
69,Greater Grand Crossing,36.12857143,46.0,-18.509024055516715,97.59420979306127,45.17992456420538,80.2496991576414,30109.64912,19735.39876,908.9698046,82.54154907494512,71.30761994355598,1.0,1.0
64,Clearing,36.08970976,42.7,9.592046930276297,59.465999507833644,50.51267328356984,89.39590776226048,58168.13049,27582.04475,1046.176046,85.15308419630797,84.0499774876182,1.0,0.943423471
51,South Deering,35.8992467,52.5,-16.98057680988817,94.66455361859482,41.9770206022187,82.88500865187982,30127.84091,19183.58743,927.480916,87.89305215590284,83.84485031067595,0.359101472,0.096439169
