,School_ID,Wards
159,609679,44
160,610054,47
161,400131,49
162,609873,14
163,609680,46
164,610076,41
165,400168,37
166,609842,3
167,610048,46
168,610096,8
169,609867,26
170,610199,22
171,610225,22
172,609904,7
173,609820,40
174,610125,26
175,400022,49
176,609849,42
177,400092,43
178,610030,33
179,400169,21
180,610533,44
181,610206,8
182,610109,30
183,609874,29
184,610226,8
185,400127,45
186,609786,35
187,610032,13
188,609807,30
189,610016,42
190,610234,41
191,609966,1
192,609921,1
193,609862,37
194,609983,3
195,400059,14
196,610380,9
197,609724,24
198,610287,30
199,609912,50
200,400111,13
201,610092,45
202,609769,9
203,400123,23
204,610068,44
205,610543,8
206,610098,49
207,609883,32
208,400039,41
209,609692,13
210,609730,16
211,400053,46
212,400135,1
213,610139,43
214,609834,28
215,610299,32
216,610170,8
217,609853,41
218,609779,27
219,400101,1
220,610104,29
221,400141,39
222,609959,26
223,610342,41
224,610218,37
225,610133,46
226,610179,19
227,610268,35
228,610128,22
229,609951,10
230,609898,6
231,609827,35
232,610215,28
233,610325,12
234,609941,31
235,610592,32
236,609719,18
237,610504,1
238,610063,28
239,400026,13
240,609761,43
241,610040,44
242,400082,20
243,610163,29
244,609735,48
245,610363,39
246,609695,24
247,610402,18
248,610088,12
249,610188,22
250,400159,44
251,400178,23
252,609956,15
253,610144,21
254,609856,47
255,610173,4
256,609811,47
257,609972,12
258,400117,13
259,610274,14
260,609772,47
261,610239,4
262,610152,32
263,610569,29
264,610013,26
265,610223,32
266,610561,46
267,610174,3
268,610355,39
269,610254,14
270,609797,46
271,400139,35
272,610529,41
273,610051,44
274,610586,47
275,610208,22
276,610597,26
277,609830,7
278,610129,26
279,609753,42
280,609674,35
281,610308,46
282,400062,13
283,610195,42
284,610390,19
285,400114,41
286,400181,35
287,400151,46
288,400013,21
289,609869,2
290,610547,35
291,609996,48
292,609791,2
293,610200,47
294,609933,5
295,610056,14
296,610281,37
297,610227,28
298,610350,35
299,609917,22
300,610077,2
301,610518,45
302,610093,32
303,610207,42
304,610099,29
305,609732,44
306,400052,33
307,400054,12
308,609942,41
309,609710,43
310,609866,18
311,400069,46
312,609726,43
313,609887,32
314,400098,36
315,610315,22
316,609749,24
317,609910,17
318,400033,13
319,610115,32
320,609711,3
321,610022,5
322,610384,28
323,610345,9
324,610290,32
325,609744,38
326,610091,43
327,609766,19
328,610062,48
329,400040,14
330,609937,29
331,400068,7
332,609899,29
333,610323,37
334,610329,26
335,609903,8
336,400091,26
337,400170,46
338,609893,6
339,609790,31
340,610251,46
341,609861,42
342,400048,23
343,610201,19
344,610078,25
345,610568,20
346,400112,8
347,610047,35
348,610405,46
349,400029,4
350,610116,33
351,610033,34
352,400083,14
353,610366,22
354,609705,22
355,610185,30
356,400077,4
357,610138,40
358,609967,26
359,609829,1
360,609750,23
361,609985,23
362,610245,7
363,400128,14
364,609723,23
365,610389,45
366,610000,45
367,610087,6
368,610067,31
369,609739,47
370,400164,26
371,609806,37
372,609880,27
373,610026,15
374,609817,24
375,610002,37
376,610124,35
377,400116,2
378,610300,31
379,400023,35
380,609844,4
381,400060,24
382,610590,9
383,610103,33
384,610513,48
385,609875,40
386,609793,2
387,610381,9
388,610153,13
389,610039,20
390,610180,26
391,609978,35
392,610006,15
393,610235,7
394,400149,8
395,610396,31
396,609950,28
397,610364,43
398,609760,43
399,609798,38
400,610524,40
401,610216,48
402,400104,26
403,609836,19
404,609852,24
405,610534,46
406,609725,42
407,609780,49
408,400157,37
409,609960,15
410,610135,19
411,610217,48
412,400084,8
413,609676,10
414,610057,2
415,610558,30
416,609895,13
417,609810,19
418,610394,39
419,610052,35
420,609930,49
421,610587,10
422,610291,15
423,609918,5
424,609812,46
425,400017,12
426,609870,28
427,609727,9
428,610197,41
429,610108,2
430,610100,49
431,609837,4
432,400121,5
433,610596,26
434,609733,5
435,400055,41
436,610146,33
437,610175,10
438,610094,25
439,610354,20
440,610228,26
441,610256,10
442,610021,49
443,609855,8
444,610589,15
445,609794,20
446,610172,4
447,400163,4
448,610090,10
449,610515,50
450,610209,38
451,609975,45
452,400176,31
453,609991,14
454,610271,23
455,610130,32
456,609773,25
457,609835,49
458,400076,10
459,610221,14
460,610279,32
461,610334,23
462,400079,8
463,400097,46
464,610565,32
465,609909,1
466,400034,38
467,609894,9
468,609712,35
469,610081,48
470,400137,10
471,400143,46
472,609955,13
473,610073,49
474,609865,5
475,609929,2
476,400105,10
477,609782,18
478,609745,31
479,609751,10
480,609961,37
481,610111,38
482,400032,31
483,610347,2
484,610011,24
485,610194,14
486,610136,40
487,400180,45
488,609971,32
489,610143,10
490,610319,1
491,609995,50
492,610570,2
493,610250,46
494,400056,46
495,609968,49
496,610503,14
497,609718,15
498,610383,28
499,400028,43
500,400113,46
501,609741,6
502,610038,34
503,609938,28
504,610117,15
505,610313,41
506,610367,7
507,609759,41
508,610499,14
509,609704,28
510,610184,1
511,400066,9
512,609851,23
513,610137,50
514,609818,7
515,610539,21
516,610123,14
517,610003,13
518,610276,9
519,610244,7
520,400129,4
521,610165,17
522,609789,17
523,610220,18
524,610339,31
525,609805,31
526,400150,35
527,610009,26
528,610353,1
529,400047,46
530,610212,20
531,609943,43
532,400061,13
533,609924,13
534,609859,24
535,609722,23
536,609986,3
537,610043,7
