comm_area,ca_id,pop,long,lat,low_bw_rate,uninsured_rate,adq_child_care,perc_vacant_units,perc_sing_par_hh,comm_belong_16_18,comm_belong_20_21,perc_hh_stamps,perc_not_getting_stamps,rent_burdened_hh,homicide_rate,drug_induced_dt_rate
West Pullman,53,25788,-87.635745,41.67382,0.8230565780173649,0.23739186357797637,-1.5133371040382881,1.3506741957222557,0.9179161381037227,-0.6258313117272721,-0.3698897046051022,0.7150946030905354,-1.1021871226652502,0.308571414741947,1.151680538503999,0.6026251899542003
South Chicago,46,25975,-87.551435,41.741243,0.7936753278980612,0.03478679189857834,-1.5133371040382881,1.7651026215410663,0.886295414801385,-1.3543282195339472,-0.6140667418592533,1.0580869603499532,-1.2167474421564126,0.5519466249336632,1.0672469408089968,0.8352044150813224
Grand Boulevard,38,24586,-87.61786,41.812947,0.7055315775401517,-0.6401548250809518,-0.5147791601755973,-0.18151429058696106,0.6401346349119877,-0.5108054841788495,-0.47442210817211544,1.0113854475994257,-1.4078279096065875,0.4451174611865457,0.4842530519625539,0.35454068315193654
Douglas,35,17630,-87.61868,41.835122,0.5880065770629386,-0.3598432723607057,-0.8571418837856628,-0.35279954793779045,0.21568284957878708,-0.1944844584206883,0.3945185475912284,0.5762342232928493,-0.22319373285127392,-0.3742838376610725,-0.11080277941174653,0.49925664545325715
Avalon Park,45,9359,-87.586347,41.744197,0.5292440768243323,-0.13740729469156146,-0.9237124133765084,0.5572841764339286,0.052834323095951985,-0.6354167973563074,1.1051002307581967,-0.19111594492915837,-0.5506652270006696,1.0667119425100178,0.49229434698112534,0.11679303079976742
Chicago Lawn,66,55789,-87.695667,41.771849,0.23543157563129977,1.453577364917913,-0.5052690845197619,-0.021792740360009874,0.16890457285216262,-0.26158285782393426,-0.8888491317116916,0.6829552045951222,-0.7871851868848119,1.4366444122764042,0.31538585657254964,0.14780359415005026
Morgan Park,75,21714,-87.669062,41.689729,0.23543157563129977,-0.6985864182184816,0.1319059844211934,-0.6854891037682324,-0.13969316800156303,0.5819398775311627,1.579876150977553,-0.43082729465127906,0.05627894235866896,-0.005613383057417071,0.3354890941189787,-0.7566711702332022
South Deering,51,14125,-87.570058,41.690639,0.2060503255119961,-0.24908120565060476,-1.0853836995257062,0.3274956240979935,1.1781422553382352,-0.15614251590454764,-2.2256075780991966,0.9832423104734156,-1.4091683068578909,1.5716572996491605,0.2148696688404043,-0.08994405820211887
Kenwood,39,14716,-87.596186,41.808918,0.08852532503478347,-0.4929936875388944,0.27455711925872067,-0.08961503526438688,-0.00259673699286583,1.5980013542088929,0.5752774184006515,0.1418855820466418,-0.23226906684790338,0.5904360081040682,-0.23946349970889255,-1.0512715220608901
Humboldt Park,23,53832,-87.720917,41.90008,0.0591440749154798,1.2150080781780757,-0.2960474200913884,-0.3519724827800508,1.0705419583189546,-0.21365542967875825,-1.254958325969978,0.7008221288829087,-1.0709303277389428,0.8103854861230834,0.11435348110825894,1.806868733390188
Near West Side,28,67817,-87.663513,41.874016,0.00038157467687349755,-1.2597808049315447,0.8356515829529937,-0.04217622751963914,-0.5899980553565729,-0.3957796566304275,-0.7845163156813849,-0.7281296193720519,0.7598867382087533,-0.7644969993490416,-0.6254456606003307,0.5922883355041059
