,sch_id,ca_id,fin_id,tot_student,perc_low_income,perc_black_his_stu,School Name_x,pre_cov_att,post_cov_att,att_diff_pp,school_name,teachers_fte_crdc,counselors_fte,social_workers_fte,psychologists_fte,salaries_teachers,teachers_per_100_stu,help_per_100_stu,salary_per_teach,Student Mobility Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,Teacher Retention Rate,dolla_per_student,pre_att_bucket,post_att_bucket
54,610529,25,24731,488,0.7049180327868853,0.8340163934426229,OGDEN HS,91.8,83.7625,8.037500000000009,,,,,,,,,,,,,,38417.44262295082,high,high
55,609753,73,47091,780,0.5025641025641026,0.7230769230769231,CHICAGO AGRICULTURE HS,93.75,90.075,3.674999999999997,,,,,,,,,,,,,,15153.465384615385,high,high
56,609674,41,53011,647,0.8222565687789799,0.9876352395672334,CHICAGO VOCATIONAL HS,87.675,76.9375,10.737499999999995,Chicago Vocational Career Acad HS,56.0,4.0,0.0,0.0,2853546.0,8.65533230293663,0.6182380216383307,50956.17857142857,11.1,74.4,5.3,82.6,17747.236476043276,high,low
57,400062,70,66053,347,0.8501440922190202,0.9913544668587896,PERSPECTIVES - TECH HS,91.125,79.5875,11.537499999999994,,,,,,,,,,,,,,15034.403458213257,high,high
58,610390,15,45221,457,0.7067833698030634,0.8205689277899344,RICKOVER MILITARY HS,90.75,85.3125,5.4375,,,,,,,,,,,,,,13316.66739606127,high,high
59,400013,22,66254,262,0.8625954198473282,1.0,ASPIRA - EARLY COLLEGE HS,90.425,85.1125,5.312500000000014,ASPIRA Charter - Early College Prep HS,30.0,2.0,1.0,1.0,1576839.0,11.450381679389311,1.5267175572519085,52561.3,1.6,59.8,0.0,0.0,18543.84351145038,high,high
60,610547,39,46631,508,0.7618110236220472,0.9921259842519684,SOUTH SHORE INTL HS,89.725,78.30000000000001,11.424999999999985,South Shore Intl Col Prep HS,41.0,2.0,0.0,0.0,2740568.0,8.070866141732283,0.3937007874015747,66843.12195121951,4.6,75.7,0.2,88.3,14816.795275590552,high,high
61,610518,26,46621,176,0.8181818181818182,0.9943181818181818,AUSTIN CCA HS,83.275,53.225,30.05000000000001,,,,,,,,,,,,,,24297.517045454544,low,low
62,609732,19,46291,1131,0.7851458885941645,0.924845269672856,STEINMETZ HS,86.625,74.88749999999999,11.737500000000011,,,,,,,,,,,,,,12389.227232537578,high,low
63,400052,67,66146,1020,0.7549019607843137,0.9823529411764704,NOBLE - COMER,92.4125,81.8125,10.599999999999994,,,,,,,,,,,,,,16870.620588235295,high,high
64,400054,21,66142,968,0.9008264462809916,0.9803719008264464,NOBLE - PRITZKER HS,94.65,86.7875,7.862500000000011,,,,,,,,,,,,,,14885.478305785124,high,high
65,609710,45,51021,272,0.8308823529411765,0.9963235294117648,HARLAN HS,82.55000000000001,70.26249999999999,12.287500000000025,,,,,,,,,,,,,,20369.6875,low,low
66,609726,45,47051,965,0.6414507772020726,0.978238341968912,BROOKS HS,88.9,87.55,1.3500000000000083,,,,,,,,,,,,,,11205.294300518135,high,high
67,400098,38,66573,823,0.8165249088699879,0.9356014580801943,NOBLE - MUCHIN HS,94.8125,80.8125,14.0,,,,,,,,,,,,,,17097.823815309843,high,high
68,609749,13,46061,1041,0.3544668587896253,0.3429394812680115,NORTHSIDE PREP HS,93.85,92.8875,0.9624999999999916,,,,,,,,,,,,,,10208.184438040345,high,high
69,400033,72,66061,1241,0.7832393231265109,0.991941982272361,CICS - LONGWOOD,88.3375,79.4,8.9375,CICS - Longwood Campus,63.0,1.0,1.0,0.5,3427087.0,5.07655116841257,0.201450443190975,54398.206349206346,3.3,65.6,0.0,7.6,14972.80741337631,high,high
70,610384,32,55151,405,0.928395061728395,0.982716049382716,INFINITY HS,92.6125,88.125,4.487500000000011,,,,,,,,,,,,,,12142.172839506173,high,high
71,609744,13,49021,264,0.7386363636363636,0.7159090909090909,NORTHSIDE LEARNING HS,91.2375,84.275,6.962499999999992,Northside Learning Center,33.0,1.0,0.0,0.0,417134.0,12.5,0.3787878787878788,12640.424242424242,,,,,35938.583333333336,high,high
72,609766,15,49081,194,0.7474226804123711,0.7731958762886598,VAUGHN HS,87.275,83.30000000000001,3.9749999999999934,,,,,,,,,,,,,,41700.52577319588,high,high
73,610323,42,46491,202,0.8712871287128713,0.9603960396039604,BOWEN HS,84.0,74.01249999999999,9.987500000000011,Bowen High School,22.0,1.0,0.0,0.0,1113318.0,10.891089108910892,0.495049504950495,50605.36363636364,11.9,74.4,7.3,88.9,27036.69801980198,low,low
74,400170,37,66578,590,0.7677966101694915,0.9322033898305084,NOBLE - ACADEMY HS,93.025,80.0625,12.962500000000006,,,,,,,,,,,,,,11274.979661016949,high,high
