,School_ID,Wards,crime_capita,crime_class,Year,Attendance,Network
569,609682,4,0.0838181818181818,Medium,2015,84.425,Network 16
575,400086,4,0.0838181818181818,Medium,2015,94.5,Charter
579,400077,4,0.0838181818181818,Medium,2015,95.55,Charter
584,400129,4,0.0838181818181818,Medium,2015,75.53333333333333,Options
587,610386,4,0.0838181818181818,Medium,2015,86.2,ISP
588,400106,4,0.0838181818181818,Medium,2015,92.475,Charter
590,609682,4,0.0918,Medium,2016,77.6,Network 16
596,400086,4,0.0918,Medium,2016,92.25,Charter
600,400077,4,0.0918,Medium,2016,92.925,Charter
605,400129,4,0.0918,Medium,2016,62.4,Options
608,610386,4,0.0918,Medium,2016,86.56666666666666,ISP
609,400106,4,0.0918,Medium,2016,91.225,Charter
611,609682,4,0.094290909090909,Medium,2017,76.675,Network 16
617,400086,4,0.094290909090909,Medium,2017,91.375,Charter
620,400029,4,0.094290909090909,Medium,2017,76.9,Charter
621,400077,4,0.094290909090909,Medium,2017,92.85,Charter
626,400129,4,0.094290909090909,Medium,2017,54.925,Options
629,610386,4,0.094290909090909,Medium,2017,82.25,ISP
630,400106,4,0.094290909090909,Medium,2017,88.15,Charter
632,609682,4,0.1014,Medium,2018,77.6,Network 16
638,400086,4,0.1014,Medium,2018,90.425,Charter
642,400077,4,0.1014,Medium,2018,93.375,Charter
647,400129,4,0.1014,Medium,2018,59.0,Options
650,610386,4,0.1014,Medium,2018,84.925,ISP
651,400106,4,0.1014,Medium,2018,86.675,Charter
653,609682,4,0.1268181818181818,High,2019,78.575,Network 16
659,400086,4,0.1268181818181818,High,2019,93.625,Charter
663,400077,4,0.1268181818181818,High,2019,92.55,Charter
668,400129,4,0.1268181818181818,High,2019,60.53333333333333,Options
671,610386,4,0.1268181818181818,High,2019,85.39999999999999,ISP
672,400106,4,0.1268181818181818,High,2019,88.35,Charter
695,609682,4,0.103290909090909,Medium,2021,66.925,Network 16
701,400086,4,0.103290909090909,Medium,2021,79.95,Charter
705,400077,4,0.103290909090909,Medium,2021,85.625,Charter
710,400129,4,0.103290909090909,Medium,2021,72.46666666666667,Options
713,610386,4,0.103290909090909,Medium,2021,74.03333333333335,ISP
714,400106,4,0.103290909090909,Medium,2021,63.15,Charter
716,609682,4,0.1417090909090909,High,2022,74.7,Network 16
722,400086,4,0.1417090909090909,High,2022,89.9,Charter
726,400077,4,0.1417090909090909,High,2022,82.975,Charter
731,400129,4,0.1417090909090909,High,2022,63.5,Options
734,610386,4,0.1417090909090909,High,2022,78.10000000000001,ISP
735,400106,4,0.1417090909090909,High,2022,76.5,Charter
749,609733,5,0.1404545454545454,High,2013,80.6,Network 14
751,400035,5,0.1404545454545454,High,2013,94.375,Charter
756,400121,5,0.1182,High,2014,93.0,Charter
757,609733,5,0.1182,High,2014,85.225,Network 14
759,400035,5,0.1182,High,2014,95.95,Charter
764,400121,5,0.1151272727272727,High,2015,94.7,Charter
765,609733,5,0.1151272727272727,High,2015,89.375,Network 14
767,400035,5,0.1151272727272727,High,2015,96.425,Charter
772,400121,5,0.1092,Medium,2016,94.36666666666667,Charter
773,609733,5,0.1092,Medium,2016,86.775,Network 14
775,400035,5,0.1092,Medium,2016,95.95,Charter
780,400121,5,0.1131090909090909,Medium,2017,93.625,Charter
781,609733,5,0.1131090909090909,Medium,2017,86.17500000000001,Network 14
783,400035,5,0.1131090909090909,Medium,2017,94.9,Charter
788,400121,5,0.1152727272727272,High,2018,93.825,Charter
789,609733,5,0.1152727272727272,High,2018,83.95,Network 14
791,400035,5,0.1152727272727272,High,2018,95.575,Charter
796,400121,5,0.1077272727272727,Medium,2019,92.0,Charter
797,609733,5,0.1077272727272727,Medium,2019,85.35,Network 14
799,400035,5,0.1077272727272727,Medium,2019,94.8,Charter
812,400121,5,0.0963818181818181,Medium,2021,85.9,Charter
813,609733,5,0.0963818181818181,Medium,2021,74.6,Network 14
815,400035,5,0.0963818181818181,Medium,2021,96.75,Charter
820,400121,5,0.1116,Medium,2022,82.375,Charter
821,609733,5,0.1116,Medium,2022,77.8,Network 14
823,400035,5,0.1116,Medium,2022,92.175,Charter
839,609741,6,0.1907636363636363,High,2013,90.95,Network 16
848,609741,6,0.1602181818181818,High,2014,91.675,Network 16
857,609741,6,0.1626181818181818,High,2015,91.875,Network 16
866,609741,6,0.1582909090909091,High,2016,91.5,Network 16
875,609741,6,0.1563454545454545,High,2017,89.825,Network 16
877,400179,6,0.1563454545454545,High,2017,91.7,Charter
884,609741,6,0.1614909090909091,High,2018,90.175,Network 16
886,400179,6,0.1614909090909091,High,2018,95.25,Charter
893,609741,6,0.1776727272727272,High,2019,90.05,Network 16
895,400179,6,0.1776727272727272,High,2019,94.9,Charter
911,609741,6,0.1460909090909091,High,2021,87.95,Network 16
913,400179,6,0.1460909090909091,High,2021,81.475,Charter
920,609741,6,0.1551090909090909,High,2022,80.45,Network 16
922,400179,6,0.1551090909090909,High,2022,86.425,Charter
945,610244,7,0.1497454545454545,High,2013,89.85,ISP
958,610244,7,0.1420727272727272,High,2014,91.125,ISP
971,610244,7,0.1380363636363636,High,2015,90.7,ISP
984,610244,7,0.1254181818181818,High,2016,92.3,ISP
997,610244,7,0.1250545454545454,High,2017,92.825,ISP
