,school_name,lea_name,teachers_fte_crdc,counselors_fte,social_workers_fte,psychologists_fte,salaries_teachers,match_id,num_student,max_score,teachers_per_100_stu,help_per_100_stu,salary_per_teach
1558,Hanson Park Elem School,City of Chicago SD 299,93.0,1.0,0.0,0.0,4556754,610068.0,1154,0.8999999999999999,8.05892547660312,0.08665511265164644,48997.354838709674
1807,Inter-American Elem Magnet School,City of Chicago SD 299,42.0,1.0,0.0,0.0,2764220,610078.0,670,0.8899999999999999,6.26865671641791,0.1492537313432836,65814.76190476191
2648,Mount Greenwood Elem School,City of Chicago SD 299,56.0,1.0,0.0,0.0,3670346,610082.0,1158,0.915,4.8359240069084635,0.08635578583765112,65541.89285714286
2651,Mount Vernon Elem School,City of Chicago SD 299,16.0,1.0,0.0,0.0,743160,610086.0,229,0.905,6.986899563318777,0.43668122270742354,46447.5
2855,Norwood Park Elem School,City of Chicago SD 299,24.0,1.0,0.0,0.0,1478195,610099.0,338,0.905,7.100591715976331,0.2958579881656805,61591.458333333336
4183,West Park Elem Academy,City of Chicago SD 299,36.0,1.0,0.0,0.0,2322178,610100.0,458,0.875,7.860262008733625,0.21834061135371177,64504.944444444445
2948,Oriole Park Elem School,City of Chicago SD 299,45.0,1.0,0.0,0.0,2793620,610105.0,597,0.8999999999999999,7.537688442211055,0.16750418760469013,62080.444444444445
2998,Park Manor Elem School,City of Chicago SD 299,15.0,1.0,0.0,0.0,1065700,610115.0,258,0.8999999999999999,5.813953488372093,0.3875968992248062,71046.66666666667
3154,Portage Park Elem School,City of Chicago SD 299,53.0,2.0,0.0,0.0,3031817,610135.0,831,0.905,6.377858002406739,0.24067388688327318,57204.09433962264
3254,Ravenswood Elem School,City of Chicago SD 299,35.0,1.0,0.0,0.0,1859842,610141.0,536,0.8999999999999999,6.529850746268656,0.18656716417910446,53138.34285714286
3498,Sauganash Elem School,City of Chicago SD 299,32.0,1.0,0.0,0.0,2135551,610155.0,601,0.895,5.324459234608985,0.16638935108153077,66735.96875
750,Columbia Explorers Elem Academy,City of Chicago SD 299,59.0,1.0,0.0,0.0,3255449,610170.0,768,0.9099999999999999,7.682291666666667,0.13020833333333331,55177.101694915254
66,Albany Park Multicultural Elem,City of Chicago SD 299,19.0,1.0,0.0,0.0,1033877,610212.0,220,0.885,8.636363636363637,0.45454545454545453,54414.57894736842
2696,National Teachers Elem Academy,City of Chicago SD 299,43.0,1.0,0.0,0.0,2090775,610231.0,755,0.9099999999999999,5.695364238410596,0.13245033112582782,48622.67441860465
2728,New Field Elem School,City of Chicago SD 299,42.0,1.0,0.0,0.0,2396089,610284.0,523,0.895,8.030592734225621,0.19120458891013384,57049.73809523809
3092,Phoenix Military Academy HS,City of Chicago SD 299,32.0,2.0,0.0,0.0,2310157,610304.0,455,0.9299999999999999,7.032967032967033,0.43956043956043955,72192.40625
384,Brighton Park Elem School,City of Chicago SD 299,26.0,1.0,0.0,0.0,1589858,610317.0,281,0.9099999999999999,9.252669039145907,0.3558718861209964,61148.38461538462
354,Bowen High School,City of Chicago SD 299,22.0,1.0,0.0,0.0,1113318,610323.0,202,0.9199999999999999,10.891089108910892,0.49504950495049505,50605.36363636364
200,Avondale - Logandale Elementary School,City of Chicago SD 299,41.0,1.0,0.0,0.0,2687584,610325.0,513,0.885,7.992202729044834,0.1949317738791423,65550.82926829268
643,Chicago Academy High School,City of Chicago SD 299,35.0,1.0,0.0,0.0,1802183,610340.0,556,0.95,6.294964028776978,0.1798561151079137,51490.94285714286
992,Durkin Park Elem School,City of Chicago SD 299,41.0,1.0,0.0,0.0,2579513,610352.0,671,0.8999999999999999,6.110283159463488,0.14903129657228018,62914.95121951219
2817,North River Elem School,City of Chicago SD 299,22.0,1.0,0.0,0.0,1050494,610354.0,250,0.8999999999999999,8.799999999999999,0.4,47749.72727272727
2671,Multicultural Acad of Scholarshp HS,City of Chicago SD 299,20.0,1.0,0.0,0.0,946924,610385.0,263,0.855,7.604562737642586,0.38022813688212925,47346.2
3046,Peace and Education Coalition HS,City of Chicago SD 299,20.0,2.0,0.0,0.0,349406,610386.0,147,0.91,13.60544217687075,1.3605442176870748,17470.3
4356,World Language High School,City of Chicago SD 299,23.0,2.0,0.0,0.0,1393999,610392.0,342,0.915,6.725146198830409,0.5847953216374269,60608.65217391304
3815,Tarkington Elem School,City of Chicago SD 299,59.0,1.0,1.0,0.0,3098952,610396.0,863,0.86,6.836616454229433,0.2317497103128621,52524.61016949153
921,Disney II Elem School,City of Chicago SD 299,72.0,2.0,0.0,0.0,4318348,610515.0,430,0.905,16.74418604651163,0.46511627906976744,59977.055555555555
1074,Edison Park Elem School,City of Chicago SD 299,33.0,1.0,0.0,0.0,1723694,610523.0,408,0.8999999999999999,8.088235294117647,0.24509803921568626,52233.15151515151
3628,South Shore Fine Arts Elem Sch,City of Chicago SD 299,26.0,1.0,0.0,0.0,1292467,610530.0,254,0.885,10.236220472440944,0.39370078740157477,49710.269230769234
3591,Skinner North Elem Sch,City of Chicago SD 299,27.0,1.0,0.0,0.0,1639249,610534.0,491,0.9,5.4989816700611,0.20366598778004072,60712.92592592593
4188,West Ridge Elem School,City of Chicago SD 299,47.0,1.0,0.0,0.0,2567578,610542.0,627,0.8999999999999999,7.496012759170653,0.1594896331738437,54629.31914893617
3629,South Shore Intl Col Prep HS,City of Chicago SD 299,41.0,2.0,0.0,0.0,2740568,610547.0,508,0.91,8.070866141732283,0.39370078740157477,66843.12195121951
3739,STEM Magnet Academy Elem,City of Chicago SD 299,30.0,1.0,0.0,0.0,1680454,610548.0,396,0.895,7.575757575757576,0.25252525252525254,56015.13333333333
203,Back of The Yards IB HS,City of Chicago SD 299,75.0,3.0,1.0,0.0,3922879,610563.0,1005,0.98,7.462686567164178,0.3980099502487562,52305.05333333334
394,Bronzeville Scholastic HS,City of Chicago SD 299,21.0,1.0,0.0,0.0,1216740,610590.0,395,0.865,5.3164556962025316,0.25316455696202533,57940.0
