sch_id,ca_id,fin_id,tot_student,perc_low_income,perc_black_his_stu
400009,53,63011,461,0.5986984815618221,0.9479392624728851
610293,27,26351,273,0.8278388278388278,0.9963369963369964
400130,70,66614,59,0.8813559322033898,0.9830508474576272
610159,16,25241,641,0.7831513260530422,0.9126365054602185
609987,3,31121,181,0.8232044198895028,0.988950276243094
610070,6,24471,668,0.45808383233532934,0.6452095808383234
610340,17,46481,556,0.7913669064748201,0.8075539568345323
400167,61,63181,738,0.8739837398373984,0.9823848238482384
609884,17,22941,754,0.506631299734748,0.6127320954907162
609927,70,23261,297,0.7070707070707071,0.9966329966329966
400021,26,66432,510,0.8313725490196079,0.9941176470588236
610122,76,24891,1063,0.33866415804327377,0.39981185324553153
400172,22,66255,490,0.7612244897959184,0.9755102040816327
609848,51,22641,231,0.8484848484848485,1.0
610029,25,0,160,0.5875,0.88125
610203,61,25631,803,0.7559153175591532,0.9838107098381071
610520,25,29101,581,0.2908777969018933,0.6247848537005164
609872,33,22861,267,0.7340823970037453,0.9588014981273408
609788,71,22131,267,0.6741573033707865,0.951310861423221
610369,70,26651,348,0.7816091954022989,0.9885057471264368
400027,16,66074,532,0.6090225563909775,0.8101503759398496
610037,59,24171,257,0.8093385214007782,0.980544747081712
400085,54,66394,638,0.8636363636363636,0.9780564263322884
610263,67,26141,657,0.8143074581430746,0.9863013698630136
609698,69,46041,637,0.7974882260596546,0.978021978021978
610191,20,29291,555,0.5459459459459459,0.36036036036036034
610145,15,25111,745,0.6738255033557047,0.8013422818791947
609973,32,23611,520,0.8038461538461539,0.9961538461538462
610242,31,25991,447,0.6868008948545862,0.7941834451901566
609716,21,46191,491,0.8370672097759674,0.9613034623217923
609740,25,51071,310,0.6903225806451613,0.8258064516129032
400081,33,66392,242,0.8099173553719008,0.9958677685950413
610065,9,24441,317,0.8107255520504731,0.9968454258675079
609756,54,53101,2903,0.8653117464691699,0.9634860489149156
400064,34,66051,365,0.8273972602739726,0.9753424657534246
610084,73,29211,213,0.3051643192488263,0.43661971830985913
610044,24,24251,308,0.8084415584415584,0.9545454545454546
400044,30,66261,905,0.850828729281768,0.9911602209944751
609900,45,23061,376,0.7845744680851063,0.9840425531914894
610298,40,29361,290,0.25517241379310346,0.6758620689655173
610105,36,24771,597,0.19597989949748743,0.2981574539363484
400058,30,66091,313,0.9041533546325878,0.9968051118210862
400046,30,66211,512,0.8359375,0.9609375
610593,74,69617,161,0.7391304347826086,0.9937888198757764
609857,16,22741,470,0.6680851063829787,0.8170212765957446
610041,18,24231,1148,0.7560975609756098,0.872822299651568
400030,19,66221,543,0.8084714548802947,0.9834254143646409
610312,44,26421,118,0.7542372881355932,0.9915254237288136
609755,29,47101,2149,0.3624941833410889,0.45649139134481154
610017,32,29151,883,0.7995469988674971,0.9932049830124575
610196,76,25571,547,0.6636197440585009,0.5283363802559415
400161,50,66671,247,0.8704453441295547,0.9919028340080972
610352,69,26831,671,0.7213114754098361,0.9508196721311475
610521,65,29391,128,0.703125,0.9921875
609977,9,23631,186,0.6666666666666666,1.0
609993,59,23791,320,0.8125,0.98125
609777,58,22061,246,0.7317073170731707,0.8252032520325203
610248,17,45211,565,0.6831858407079646,0.768141592920354
610132,47,29261,227,0.34801762114537443,0.9162995594713657
609720,46,46221,4476,0.35344057193923145,0.4110813226094727
610282,26,26301,355,0.8394366197183099,0.971830985915493
610563,59,46551,1005,0.9154228855721394,0.9731343283582089
609762,72,46401,426,0.8380281690140845,0.9859154929577465
610089,16,24621,493,0.48884381338742394,0.6308316430020284
400071,65,66471,423,0.7612293144208038,0.983451536643026
400136,47,66621,83,0.7108433734939759,0.9759036144578314
610391,65,46511,1390,0.5230215827338129,0.9553956834532374
609897,65,23031,247,0.7935222672064778,0.9878542510121457
610083,36,30051,316,0.25316455696202533,0.5221518987341772
609952,56,23431,303,0.7755775577557755,0.8943894389438944
400086,66,66441,155,0.8903225806451613,0.9870967741935484
609715,55,46181,1716,0.9213286713286714,0.8624708624708625
609815,39,22371,597,0.7738693467336684,0.9865996649916248
609901,12,23071,455,0.12747252747252746,0.20659340659340658
610121,29,24881,292,0.6986301369863014,0.928082191780822
609939,45,23321,392,0.7474489795918368,0.9974489795918368
400118,30,66575,347,0.8731988472622478,0.9971181556195965
609863,25,22791,292,0.3767123287671233,0.3219178082191781
400050,56,66271,409,0.7383863080684596,0.9193154034229829
609803,57,22261,631,0.10301109350237718,0.18066561014263074
610178,47,25391,176,0.75,0.9943181818181818
609729,16,46281,1279,0.856137607505864,0.924941360437842
609748,32,49041,184,0.6684782608695652,0.9891304347826086
400153,55,66602,543,0.8342541436464088,0.998158379373849
610357,32,46461,75,0.9066666666666666,0.9866666666666667
610112,66,31181,354,0.7966101694915254,0.9971751412429378
609947,59,23391,327,0.7920489296636085,0.72782874617737
610024,32,24051,819,0.8400488400488401,0.989010989010989
610530,39,22251,254,0.610236220472441,0.9921259842519685
