,Short_Name,Zip,Lat,Long,GeoNetwork,COMMAREA,WARD_15,sch_id,ca_id,fin_id,tot_student,perc_low_income,perc_black_his_stu,pre_cov_att,post_cov_att,att_diff_pp,match_score,teachers,teachers_per_100stu,help_fte_per_100stu,dolla_per_student,salary_per_teacher,pre_att_bucket,post_att_bucket
28,NOBLE - JOHNSON HS,60621,41.7783695,-87.6351167,11,ENGLEWOOD,20,400106,66,66148,471,0.832271762208068,0.989384288747346,87.51249999999999,69.825,17.687499999999986,,,,,15435.053078556264,,high,low
29,CATALYST - MARIA,60629,41.77099172,-87.69307532,10,CHICAGO LAWN,17,400115,64,66433,552,0.8405797101449275,0.9655797101449276,94.9375,90.6625,4.275000000000006,0.91,78.0,120.0,7.6923076923076925,29970.827898550724,50122.256410256414,high,high
30,NOBLE - HANSBERRY HS,60620,41.73444162,-87.65098673,11,AUBURN GRESHAM,21,400117,70,66574,481,0.7817047817047817,0.9854469854469856,92.0375,78.9,13.137499999999989,0.91,62.0,95.3846153846154,22.46153846153846,15822.989604989605,57227.532258064515,high,high
31,NOBLE - DRW HS,60624,41.86932808,-87.71165423,5,NORTH LAWNDALE,24,400118,30,66575,347,0.8731988472622478,0.9971181556195964,87.3375,60.8875,26.450000000000003,0.9,50.0,76.92307692307693,22.153846153846157,13773.319884726225,47810.7,high,low
32,NOBLE - DRW HS,60624,41.86932808,-87.71165423,5,NORTH LAWNDALE,24,400118,30,66575,347,0.8731988472622478,0.9971181556195964,87.3375,60.8875,26.450000000000003,0.91,48.0,73.84615384615385,20.0,13773.319884726225,51109.854166666664,high,low
33,LEGAL PREP HS,60624,41.88173276,-87.73377838,5,WEST GARFIELD PARK,28,400119,27,66641,242,0.8801652892561983,0.9958677685950412,86.15,77.67500000000001,8.474999999999994,0.93,26.0,40.0,3.076923076923077,15131.702479338843,60216.42307692308,low,low
34,ACERO - DE LA CRUZ,60645,42.01647588,-87.68440568,2,WEST RIDGE,49,400121,20,66134,518,0.7625482625482626,0.9517374517374516,92.9125,84.1375,8.774999999999991,,,,,16127.496138996139,,high,high
35,YCCS - MCKINLEY,60616,41.84133117,-87.62533077,9,DOUGLAS,3,400124,1,66107,66,0.803030303030303,1.0,62.30833333333334,69.9,-7.591666666666669,,,,,1016.969696969697,,low,low
36,YCCS - YOUTH DEVELOPMENT,60620,41.75137711,-87.64173119,11,AUBURN GRESHAM,6,400130,70,66614,59,0.8813559322033898,0.9830508474576272,64.97083333333333,55.366666666666674,9.604166666666655,0.93,7.0,10.76923076923077,0.0,751.6610169491526,38198.71428571428,low,low
37,YCCS - INNOVATIONS,60602,41.88304717,-87.62773415,6,LOOP,42,400133,38,66617,455,0.8637362637362638,0.9758241758241758,51.2375,52.35,-1.1124999999999972,,,,,190.27692307692308,,low,low
38,LITTLE BLACK PEARL HS,60653,41.8096955,-87.59933994,9,KENWOOD,4,400137,5,63161,83,0.8072289156626506,0.9879518072289156,78.7875,82.9,-4.112500000000011,0.91,8.0,12.307692307692308,3.076923076923077,23040.22891566265,65887.75,low,high
39,YCCS - SULLIVAN,60617,41.74628657,-87.57849167,12,AVALON PARK,8,400139,41,66623,306,0.8986928104575164,0.9869281045751634,81.92083333333333,89.25,-7.329166666666666,0.95,15.0,23.07692307692308,0.0,219.78758169934642,37400.73333333333,low,high
40,YCCS - WEST TOWN,60612,41.89080312,-87.7020528,5,HUMBOLDT PARK,27,400143,24,66627,70,0.8285714285714286,0.9714285714285714,60.65,62.96666666666667,-2.31666666666667,0.93,12.0,18.461538461538463,0.0,661.3428571428572,11164.5,low,low
41,YCCS - YOUTH CONNECTION,60616,41.83207206,-87.62678147,9,DOUGLAS,3,400145,1,66629,97,0.8144329896907216,0.9690721649484536,59.675,47.016666666666666,12.658333333333331,0.97,12.0,18.461538461538463,3.076923076923077,762.9690721649484,34632.916666666664,low,low
42,CAMELOT - CHICAGO EXCEL HS,60643,41.69196931,-87.65372654,13,MORGAN PARK,34,400147,74,63141,208,0.7451923076923077,0.9807692307692308,79.6625,68.2,11.462499999999991,1.0,14.0,21.53846153846154,3.2,23287.25,51876.28571428572,low,low
43,ACERO - SOTO HS,60632,41.80176225,-87.71102498,8,GAGE PARK,14,400149,61,66137,562,0.9537366548042704,0.99288256227758,87.75,84.2,3.549999999999997,,,,,13978.209964412812,,high,high
44,YCCS - CHATHAM,60619,41.73013139,-87.60697991,12,CHATHAM,8,400150,40,66631,119,0.7899159663865546,1.0,68.525,56.766666666666666,11.75833333333334,,,,,833.4705882352941,,low,low
45,NOBLE - BUTLER HS,60628,41.70666686,-87.60257332,13,PULLMAN,9,400156,47,66576,623,0.8330658105939005,0.9951845906902088,93.0125,74.23750000000001,18.774999999999977,,,,,13905.293739967898,,high,low
46,NOBLE - BAKER HS,60617,41.73462237,-87.55620144,12,SOUTH CHICAGO,7,400157,42,66577,266,0.7744360902255639,0.9774436090225564,90.25,74.2875,15.962500000000006,,,,,12934.097744360903,,high,low
47,CHICAGO COLLEGIATE,60628,41.67931844,-87.61796787,13,WEST PULLMAN,9,400161,50,66671,247,0.8704453441295547,0.9919028340080972,91.0,79.775,11.224999999999994,1.0,24.0,36.92307692307693,3.384615384615385,21088.178137651823,53210.166666666664,high,high
48,INTRINSIC HS,60641,41.93898843,-87.74112863,1,IRVING PARK,30,400162,16,66691,975,0.8615384615384616,0.96,93.425,90.4625,2.9624999999999915,0.96,61.0,93.84615384615384,4.307692307692308,15966.037948717949,54880.475409836065,high,high
49,HORIZON - SOUTHWEST,60609,41.79520095,-87.68396339,8,GAGE PARK,15,400167,61,63181,738,0.8739837398373984,0.9823848238482384,93.99583333333334,93.55,0.4458333333333399,,,,,14115.991869918698,,high,high
50,NOBLE - ITW SPEER HS,60639,41.91726641,-87.75967517,3,BELMONT CRAGIN,37,400169,19,66149,1094,0.783363802559415,0.9853747714808044,93.825,82.625,11.199999999999989,,,,,15594.344606946983,,high,high
51,NOBLE - ACADEMY HS,60610,41.9068788,-87.64557694,4,NEAR NORTH SIDE,27,400170,37,66578,590,0.7677966101694915,0.9322033898305084,93.025,80.0625,12.962500000000006,0.91,26.0,40.0,11.076923076923077,11274.979661016949,52798.42307692308,high,high
52,PATHWAYS - BRIGHTON PARK HS,60632,41.80822579,-87.70264475,8,BRIGHTON PARK,14,400173,55,66801,454,0.7819383259911894,0.9647577092511012,72.275,65.375,6.900000000000006,,,,,9506.83039647577,,low,low
53,CAMELOT - EXCEL SOUTH SHORE HS,60649,41.75974864,-87.55648708,12,SOUTH SHORE,7,400175,39,63143,189,0.7883597883597884,0.9682539682539684,74.7125,71.8125,2.9000000000000057,,,,,15600.10582010582,,low,low
54,CAMELOT - EXCEL SOUTHWEST HS,60629,41.76592892,-87.69073009,10,AUBURN GRESHAM,17,400176,64,63144,101,0.7821782178217822,0.9702970297029704,73.9375,64.93333333333334,9.004166666666663,0.96,10.0,15.384615384615383,2.307692307692308,20994.673267326732,38942.6,low,low
55,CHICAGO VOCATIONAL HS,60617,41.73717393,-87.57326752,12,AVALON PARK,8,609674,41,53011,647,0.8222565687789799,0.9876352395672334,87.675,76.9375,10.737499999999995,0.95,56.0,86.15384615384616,6.153846153846154,17747.236476043276,50956.17857142857,high,low
56,DUNBAR HS,60616,41.84022557,-87.61763743,9,DOUGLAS,4,609676,1,53021,447,0.9351230425055927,0.9910514541387024,85.075,68.7625,16.3125,,,,,14801.434004474273,,low,low
57,JONES HS,60605,41.87306592,-87.62767532,6,LOOP,4,609678,38,47021,1929,0.3727319854847071,0.4380508035251426,92.2,90.1375,2.0625,,,,,8935.274753758424,,high,high
58,PROSSER HS,60639,41.9200594,-87.76104832,3,BELMONT CRAGIN,36,609679,19,53041,1150,0.888695652173913,0.9739130434782608,88.35,83.625,4.724999999999994,,,,,12003.240869565218,,high,high
59,PAYTON HS,60610,41.90157517,-87.63538477,6,NEAR NORTH SIDE,27,609680,37,70020,1230,0.3024390243902439,0.3333333333333333,92.45,91.7375,0.7124999999999773,,,,,10022.534146341464,,high,high
60,RICHARDS HS,60609,41.80288138,-87.66227785,8,NEW CITY,20,609682,59,53051,273,0.8644688644688645,0.9413919413919414,78.0875,70.8125,7.275000000000006,,,,,16548.14285714286,,low,low
61,NORTH-GRAND HS,60639,41.91167369,-87.73523756,5,HUMBOLDT PARK,36,609691,24,46431,1066,0.8911819887429644,0.9765478424015008,88.275,80.425,7.850000000000008,1.0,63.0,96.92307692307692,6.153846153846154,11920.01688555347,54607.15873015873,high,high
62,SIMEON HS,60620,41.74578123,-87.63541037,11,CHATHAM,21,609692,40,53061,1142,0.9133099824868652,0.9921190893169878,87.1625,79.9,7.262499999999989,,,,,12903.678633975482,,high,high
63,WESTINGHOUSE HS,60624,41.8899772,-87.70733231,5,HUMBOLDT PARK,28,609693,24,53071,1194,0.7696817420435511,0.8802345058626466,91.675,85.0375,6.637500000000003,,,,,10704.509212730318,,high,high
64,HANCOCK HS,60629,41.79146391,-87.72447046,8,WEST ELSDON,13,609694,60,46021,1003,0.6889332003988036,0.9142572283150548,91.525,92.55,-1.0250000000000057,,,,,10025.139581256231,,high,high
65,AMUNDSEN HS,60625,41.97506726,-87.67948421,2,LINCOLN SQUARE,40,609695,6,46031,1488,0.4092741935483871,0.508736559139785,90.9625,84.375,6.587500000000006,,,,,10330.239247311827,,high,high
66,BOGAN HS,60652,41.74937561,-87.72109745,10,ASHBURN,18,609698,69,46041,637,0.7974882260596546,0.978021978021978,86.8125,74.375,12.4375,,,,,15763.430141287285,,high,low
67,FARRAGUT HS,60623,41.84855987,-87.70870563,7,SOUTH LAWNDALE,22,609704,32,53091,453,0.9315673289183224,0.9801324503311258,86.5875,70.3375,16.25,,,,,21831.973509933774,,low,low
68,FENGER HS,60628,41.68995073,-87.63757205,13,ROSELAND,34,609705,45,46111,237,0.7848101265822784,1.0,87.38749999999999,66.5625,20.82499999999999,,,,,20664.071729957806,,high,low
69,FOREMAN HS,60641,41.93979677,-87.75416654,1,PORTAGE PARK,31,609708,15,46131,583,0.823327615780446,0.9451114922813036,84.95,73.775,11.174999999999995,,,,,16444.576329331045,,low,low
70,GAGE PARK HS,60629,41.79101284,-87.68895394,8,GAGE PARK,15,609709,61,46141,330,0.8393939393939394,0.9818181818181818,89.6125,77.6875,11.924999999999995,1.0,26.0,40.0,1.5384615384615383,17495.17575757576,40703.38461538462,high,low
71,HARLAN HS,60628,41.71837235,-87.62062344,12,ROSELAND,9,609710,45,51021,272,0.8308823529411765,0.9963235294117648,82.55000000000001,70.26249999999999,12.287500000000025,,,,,20369.6875,,low,low
72,HIRSCH HS,60619,41.75374796,-87.60172727,12,GREATER GRAND CROSSING,8,609712,67,47031,104,0.625,0.9903846153846154,78.325,64.45,13.875,,,,,29682.30769230769,,low,low
73,HYDE PARK HS,60637,41.78225693,-87.58661501,9,WOODLAWN,5,609713,9,46171,701,0.9072753209700428,0.9914407988587732,86.82499999999999,79.0375,7.787499999999994,1.0,55.0,84.61538461538461,3.076923076923077,14710.22539229672,56312.98181818182,high,high
74,KELLY HS,60632,41.81872906,-87.69463866,8,BRIGHTON PARK,12,609715,55,46181,1716,0.9213286713286714,0.8624708624708625,90.0375,78.15,11.887499999999989,1.0,122.0,187.69230769230768,6.153846153846154,12386.438228438228,63613.10655737705,high,high
75,KELVYN PARK HS,60639,41.9279184,-87.73599882,4,HERMOSA,31,609716,21,46191,491,0.8370672097759674,0.9613034623217924,81.61250000000001,85.3375,-3.7249999999999934,1.0,32.0,49.23076923076923,2.307692307692308,13618.01018329939,53891.53125,low,high
76,KENNEDY HS,60638,41.78996125,-87.78083976,10,GARFIELD RIDGE,13,609718,53,46201,1621,0.6711906230721777,0.850709438618137,89.15,81.19999999999999,7.950000000000017,,,,,10175.724244293646,,high,high
77,LAKE VIEW HS,60613,41.95476407,-87.66895269,2,LAKE VIEW,47,609719,57,46211,1335,0.7925093632958802,0.8621722846441947,86.6625,78.1875,8.474999999999994,1.0,89.0,136.92307692307693,7.6923076923076925,11878.650187265917,56732.247191011236,high,high
78,LANE TECH HS,60618,41.94664458,-87.69101263,4,NORTH CENTER,47,609720,46,46221,4476,0.3534405719392314,0.4110813226094727,93.0125,92.0125,0.9999999999999858,,,,,8002.222073279714,,high,high
79,MANLEY HS,60612,41.87093896,-87.69989559,5,EAST GARFIELD PARK,28,609722,28,53111,71,0.7464788732394366,1.0,75.45,60.5,14.950000000000005,1.0,13.0,20.0,1.5384615384615383,44462.35211267605,53257.46153846154,low,low
80,MARSHALL HS,60624,41.87844409,-87.70805007,5,EAST GARFIELD PARK,28,609723,28,47041,194,0.8402061855670103,0.9845360824742267,75.55,60.8,14.749999999999991,,,,,22315.0,,low,low
81,MATHER HS,60659,41.98758868,-87.7024964,2,WEST RIDGE,40,609724,20,46241,1610,0.7888198757763976,0.6285714285714286,88.775,82.57499999999999,6.200000000000017,,,,,10825.254658385093,,high,high
82,MORGAN PARK HS,60643,41.69203501,-87.66565755,10,MORGAN PARK,19,609725,74,46251,1075,0.7488372093023256,0.9897674418604652,83.42500000000001,74.7625,8.662500000000009,1.0,87.0,133.84615384615384,3.076923076923077,11565.167441860465,67748.01149425287,low,low
83,BROOKS HS,60628,41.69276253,-87.61635261,13,ROSELAND,9,609726,45,47051,965,0.6414507772020726,0.978238341968912,88.9,87.55,1.3500000000000083,,,,,11205.294300518135,,high,high
84,PHILLIPS HS,60653,41.82387997,-87.61979635,9,DOUGLAS,3,609727,1,46261,441,0.7709750566893424,0.9206349206349206,82.3125,59.825,22.4875,,,,,17896.031746031746,,low,low
85,ROOSEVELT HS,60625,41.96482788,-87.71481862,1,ALBANY PARK,33,609728,14,46271,1072,0.7985074626865671,0.8395522388059702,89.1125,80.8125,8.299999999999997,,,,,11785.759328358208,,high,high
86,SCHURZ HS,60641,41.94636454,-87.73561211,1,IRVING PARK,45,609729,16,46281,1279,0.856137607505864,0.924941360437842,85.5125,74.82499999999999,10.687500000000014,,,,,14533.664581704457,,low,low
87,SENN HS,60660,41.98902854,-87.66713619,2,EDGEWATER,48,609730,76,47061,1508,0.7241379310344828,0.6631299734748011,89.88749999999999,85.4625,4.424999999999983,,,,,10868.024535809018,,high,high
88,STEINMETZ HS,60634,41.93563359,-87.78351523,3,BELMONT CRAGIN,36,609732,19,46291,1131,0.7851458885941645,0.924845269672856,86.625,74.88749999999999,11.737500000000011,,,,,12389.227232537578,,high,low
89,SULLIVAN HS,60626,42.00268756,-87.66919215,2,ROGERS PARK,49,609733,10,46301,664,0.7725903614457831,0.7289156626506024,84.65,76.19999999999999,8.450000000000017,,,,,14163.951807228916,,low,low
90,TAFT HS,60631,41.98296099,-87.79154725,1,NORWOOD PARK,41,609734,36,46311,4296,0.4888268156424581,0.4632216014897579,89.325,85.2625,4.0625,,,,,8568.71997206704,,high,high
91,TILDEN HS,60609,41.80751007,-87.64296648,8,NEW CITY,11,609735,59,53121,211,0.8199052132701422,0.8578199052132701,81.6,65.7,15.899999999999991,,,,,20430.90047393365,,low,low
92,VON STEUBEN HS,60625,41.97318505,-87.71338625,1,NORTH PARK,39,609737,13,47081,1635,0.6422018348623854,0.653211009174312,92.3125,87.875,4.4375,,,,,10103.285626911314,,high,high
93,LINCOLN PARK HS,60614,41.91826831,-87.64600936,4,LINCOLN PARK,43,609738,68,46321,2063,0.4498303441589917,0.5302956858943286,89.9625,86.5,3.4625000000000057,1.0,131.0,201.53846153846155,9.230769230769232,9801.507998061075,67722.34351145038,high,high
94,WASHINGTON HS,60617,41.68813694,-87.5375703,13,EAST SIDE,10,609739,49,46331,1490,0.8369127516778524,0.951006711409396,88.625,80.67500000000001,7.949999999999989,,,,,10619.128187919463,,high,high
95,WELLS HS,60622,41.89899471,-87.66748287,6,WEST TOWN,1,609740,25,51071,310,0.6903225806451613,0.8258064516129032,88.0125,77.7875,10.225000000000009,0.95,30.0,46.15384615384615,4.615384615384616,18189.96129032258,58334.4,high,low
96,HUBBARD HS,60629,41.78052639,-87.71801374,10,WEST LAWN,23,609741,63,46341,1711,0.8854471069549971,0.9848042080654588,90.1125,84.2,5.9125000000000085,,,,,10597.203974284044,,high,high
97,NORTHSIDE LEARNING HS,60659,41.98297252,-87.72238622,1,NORTH PARK,39,609744,13,49021,264,0.7386363636363636,0.7159090909090909,91.2375,84.275,6.962499999999992,0.94,33.0,50.76923076923077,1.5384615384615383,35938.583333333336,12640.424242424242,high,high
98,SOUTHSIDE HS,60636,41.75985243,-87.67594677,11,WEST ENGLEWOOD,17,609745,65,49031,350,0.8457142857142858,0.9628571428571427,89.30000000000001,81.55,7.750000000000014,0.94,33.0,50.76923076923077,1.5384615384615383,30652.125714285714,9577.848484848484,high,high
99,KENWOOD HS,60615,41.80377212,-87.59042089,9,KENWOOD,4,609746,5,46361,2299,0.5628534145280557,0.8995215311004785,92.3625,89.0625,3.300000000000012,1.0,101.0,155.3846153846154,7.6923076923076925,8243.951718138322,66257.68316831683,high,high
100,YORK HS,60608,41.84253335,-87.69526102,7,SOUTH LAWNDALE,24,609748,32,49041,184,0.6684782608695652,0.9891304347826086,72.4375,62.225,10.212500000000006,,,,,46261.288043478264,,low,low
101,NORTHSIDE PREP HS,60625,41.98131528,-87.7087078,1,NORTH PARK,40,609749,13,46061,1041,0.3544668587896253,0.3429394812680115,93.85,92.8875,0.9624999999999916,0.96,64.0,98.46153846153848,6.153846153846154,10208.184438040345,73946.9375,high,high
102,KING HS,60653,41.81367545,-87.60387386,9,KENWOOD,4,609751,5,46371,586,0.8054607508532423,0.9709897610921502,88.9875,90.4375,-1.4500000000000028,,,,,12997.098976109215,,high,high
103,CHICAGO AGRICULTURE HS,60655,41.69122074,-87.71776967,10,MOUNT GREENWOOD,19,609753,73,47091,780,0.5025641025641026,0.7230769230769231,93.75,90.075,3.674999999999997,,,,,15153.465384615385,,high,high
104,CHICAGO MILITARY HS,60653,41.83055498,-87.61921554,9,DOUGLAS,3,609754,1,70070,227,0.8810572687224669,0.9559471365638766,90.8625,82.5,8.362499999999997,0.95,22.0,33.84615384615385,1.5384615384615383,21466.39207048458,63207.09090909091,high,high
105,YOUNG HS,60607,41.87860253,-87.66423334,6,NEAR WEST SIDE,27,609755,29,47101,2149,0.3624941833410889,0.4564913913448115,94.825,92.7625,2.062499999999986,,,,,9428.691484411354,,high,high
106,CURIE HS,60632,41.80306021,-87.72204165,8,ARCHER HEIGHTS,14,609756,54,53101,2903,0.8653117464691699,0.9634860489149156,87.55000000000001,80.65,6.900000000000006,,,,,10726.74784705477,,high,high
107,CLEMENTE HS,60622,41.90262579,-87.68690615,5,WEST TOWN,1,609759,25,51091,595,0.826890756302521,0.9512605042016806,80.05,68.5125,11.537499999999994,,,,,16137.887394957983,,low,low
108,CARVER MILITARY HS,60627,41.65628995,-87.59062039,13,RIVERDALE,9,609760,51,46381,406,0.874384236453202,0.9852216748768472,92.05,84.5625,7.487499999999997,,,,,15090.84236453202,,high,high
109,CORLISS HS,60628,41.70665962,-87.60121588,13,PULLMAN,9,609761,47,46391,288,0.8715277777777778,0.9930555555555556,84.6375,75.7,8.9375,,,,,20554.36111111111,,low,low
110,JULIAN HS,60643,41.70585894,-87.65374921,10,WASHINGTON HEIGHTS,34,609762,72,46401,426,0.8380281690140845,0.9859154929577464,80.7625,73.23750000000001,7.524999999999991,,,,,17113.244131455398,,low,low
111,JUAREZ HS,60608,41.85267014,-87.66433931,7,LOWER WEST SIDE,25,609764,33,46421,1593,0.8939108600125549,0.9692404268675456,85.11250000000001,77.94999999999999,7.162500000000023,,,,,11409.842435655995,,low,high
112,VAUGHN HS,60641,41.9603638,-87.76466317,1,PORTAGE PARK,38,609766,15,49081,194,0.7474226804123711,0.7731958762886598,87.275,83.30000000000001,3.9749999999999934,,,,,41700.52577319588,,high,high
113,GRAHAM HS,60616,41.84967542,-87.62531482,6,NEAR SOUTH SIDE,3,609769,34,49101,238,0.9201680672268908,0.9117647058823528,81.82499999999999,81.75,0.0749999999999886,,,,,27902.5756302521,,low,high
114,MARINE LEADERSHIP AT AMES HS,60647,41.91604463,-87.72174232,4,LOGAN SQUARE,26,609780,23,41111,686,0.9300291545189504,0.9693877551020408,93.25,85.35,7.900000000000006,0.98,60.0,92.3076923076923,4.615384615384616,14365.010204081633,63998.46666666667,high,high
115,JEFFERSON HS,60612,41.86783229,-87.68041755,6,NEAR WEST SIDE,27,609783,29,30011,164,0.6707317073170732,0.9695121951219512,97.9,95.25,2.6500000000000057,,,,,53469.29268292683,,high,high
116,CARVER G,60827,41.65370212,-87.59951563,13,RIVERDALE,9,609845,51,22621,476,0.8529411764705882,1.0,,,,,,,,11846.987394957983,,high,high
117,DOOLITTLE,60616,41.83112063,-87.61227454,9,DOUGLAS,4,609891,1,22991,257,0.8054474708171206,1.0,100.0,,,,,,,14073.953307392996,,high,high
