ca_id,count_schools,pre_cov_att,post_cov_att,att_diff_pp,comm_area_x,med_age,covid_idx,perc_chg_pop,perc_black_hispanic,perc_pop_lforce,perc_emp,med_inc,inc_p_cap,med_rent,perc_hh_comp,perc_hh_internet,highly_walkable_pop_pct,highly_walkable_emp_pct,pop,long,lat,low_bw_rate,uninsured_rate,adq_child_care,perc_vacant_units,perc_sing_par_hh,comm_belong_16_18,comm_belong_20_21,perc_hh_stamps,perc_not_getting_stamps,rent_burdened_hh,homicide_rate,drug_induced_dt_rate
28,3,77.60000000000001,62.6625,14.937500000000002,Near West Side,31.74387646,20.0,46.23537775479868,34.207845134997456,62.83749363219562,93.76773408998784,93202.49846,59634.86515,1755.633667,81.51718851347367,80.34082198242821,1.0,1.0,67817,-87.663513,41.874016,10.0,4.038200715,77.1,10.94029238,5.141263234,57.3,37.14417459,11.32511816,69.72062187,38.29796848,9.0,39.5
29,7,87.82678571428572,79.57678571428572,8.249999999999998,North Lawndale,32.67097967,58.5,-16.69699291323501,93.8677738741616,43.12999041839668,82.83471563981043,30960.59113,17708.19019,1019.907407,73.55507088331515,66.54463312042374,1.0,1.0,34817,-87.717218,41.860197,14.5,11.61828214,57.0,21.75603393,20.24228703,49.5,40.53879833,44.90776024,30.21148652,60.72561003,68.9,98.7
30,6,90.17083333333333,70.92916666666667,19.241666666666667,South Lawndale,32.38064169,58.2,-21.60072910147028,93.75952160603688,38.68441660140955,91.19985277880016,36919.74596,14234.46978,836.1766319,76.96447256963475,71.39369176341621,0.997844944,0.747040498,71402,-87.714,41.839091,8.2,20.26453302,67.2,10.37364283,8.89690581,59.3,55.08192715,22.84175578,52.01102384,52.04969152,10.0,14.7
32,7,86.28928571428571,75.86071428571428,10.42857142857143,The Loop,32.57892628,8.3,158.10349035879912,16.642510234698808,68.9653418770819,94.1560356905833,113599.1379,90269.15221,2231.053338,85.12057677964697,85.17444269495317,1.0,1.0,39135,-87.625194,41.878881,7.8,2.830144027,79.3,14.33218657,1.493095973,59.6,37.30808087,2.111343797,94.79110451,34.03266599,1.2,14.8
38,3,79.41666666666667,74.43333333333334,4.983333333333334,Grand Boulevard,37.49339934,41.3,-12.200956937799043,92.82605940259413,51.0710211669272,86.07710125744539,39110.73826,29807.9199,943.4131737,84.33232842702607,80.04078737364782,1.0,1.0,24586,-87.61786,41.812947,12.4,6.755379533,62.9,10.10095131,12.95474224,56.1,40.4422231,37.04506098,27.49151651,50.64255875,36.6,34.9
42,6,86.9075,75.25249999999998,11.655000000000006,Woodlawn,33.20743754,37.8,-9.824263457136528,85.15687494444938,48.75655959470269,82.43022950748883,27540.98361,20824.41827,960.7714702,79.90871921650661,73.29086241323571,0.99905575,0.792316057,24630,-87.594924,41.778877,14.4,9.345498145,63.3,20.22184219,12.9426665,44.1,39.30330186,38.83935304,40.64997057,56.82782917,47.8,30.6
45,3,86.27916666666665,74.79166666666667,11.487500000000006,Avalon Park,45.12512307,44.2,-15.152058849914775,94.72734450393388,48.61372870350713,84.26875505751485,54418.51813,29200.1494,931.5121958,75.53253932448733,72.73398685162846,1.0,1.0,9359,-87.586347,41.744197,11.8,8.960023923,58.6,14.55130667,9.224365271,54.8,57.24144466,19.26523967,44.18984591,56.98617437,36.8,30.3
46,3,92.75833333333333,88.90833333333335,3.8499999999999894,South Chicago,34.22471534,43.8,-29.26728158358379,95.89685425492875,47.14280948727357,83.68949900934051,39798.13665,19442.66868,815.7971014,84.36053372061359,83.30761550331306,1.0,1.0,25975,-87.551435,41.741243,12.7,9.715128034,52.4,21.82693261,14.51829071,47.3,38.95701388,37.7355754,31.21394243,51.73279229,51.1,44.2
54,3,91.50833333333334,82.00833333333333,9.500000000000005,Riverdale,25.86317136,35.6,-25.965949638087476,99.02886431076342,40.82816293498786,70.13544763792534,19676.96629,14175.67494,421.1956522,94.96630994847403,89.179548156956,0.0,0.0,7229,-87.602849,41.660137,13.4,8.762128237,49.4,9.344914189,37.57389684,27.7,30.79520849,63.79220445,22.35295709,36.60837165,74.2,59.9
59,5,84.2875,74.55104166666666,9.736458333333328,McKinley Park,38.90544707,36.8,-0.2443302844255106,53.96825396825397,56.84769775678866,93.97715472481828,61814.25486,26933.93789,940.819209,89.90610328638498,86.92668833513903,0.952158086,0.761309673,15927,-87.6725,41.829927,6.5,11.63189971,70.4,6.905258063,3.910246509,61.4,49.58221961,17.3341897,48.53846823,41.03840794,4.4,17.6
