,pre_cov_att,post_cov_att,perc_low_income,perc_black_his_stu,bus_count,dolla_per_student,med_age,covid_idx,perc_chg_pop,perc_black_hispanic,perc_pop_lforce,perc_emp,med_inc,inc_p_cap,med_rent,perc_hh_comp,perc_hh_internet,highly_walkable_pop_pct,highly_walkable_emp_pct,low_bw_rate,uninsured_rate,adq_child_care,perc_vacant_units,perc_sing_par_hh,comm_belong_16_18,comm_belong_20_21,perc_hh_stamps,perc_not_getting_stamps,rent_burdened_hh,homicide_rate,drug_induced_dt_rate
perc_pop_lforce,-0.23808246103995484,0.09229215068026146,0.033434498911923044,0.029586208194073878,-0.043014328849419484,-0.0027148572309642813,-0.16701858462298477,-0.781372404562941,0.5021475000145179,-0.7295988270424225,1.0,0.7567197475430137,0.8046417795781495,0.8347521704843586,0.809118565019123,0.566359388842344,0.6591294308503534,0.1859731330707084,0.18913131692166701,-0.6021024190642752,-0.3425764979552653,0.7366058174146972,-0.4718755542487507,-0.6416835335204909,0.46280425379372,0.20617836909184675,-0.7627969287938987,0.7184413064933497,-0.6930851547215487,-0.7102426702134442,-0.5687966283211708
perc_emp,-0.13436086286346435,0.12767385031678793,0.07086755717318173,-0.002932884938754611,-0.10694569698618006,0.0498375492293059,0.02107349032715604,-0.618457004635633,0.4366061678005442,-0.808122571780641,0.7567197475430137,1.0,0.7926695024110888,0.6548914812067138,0.6322841872376439,0.5525211692018641,0.6256619779912928,0.22033520019476122,0.2595702283525536,-0.8682005898775038,-0.18710393921889196,0.9008167063838356,-0.7136036716061954,-0.8322694343892756,0.6890879749041389,0.3743834402267408,-0.9250227792305571,0.8486130479628173,-0.6165031404729556,-0.9327336167713824,-0.7502082635073752
med_inc,-0.1789094963619969,0.08778374912370489,0.07535214638732206,0.14759223515085365,-0.13125889091481555,0.07898743718426171,0.01127163640830717,-0.7423865308139638,0.5354301526045216,-0.8025967616730588,0.8046417795781495,0.7926695024110888,1.0,0.8802606001400521,0.8017690627478253,0.5281169614705588,0.6300807719223523,0.12707976590766656,0.19796161640523996,-0.6955839133582642,-0.5313920669386175,0.8588000993296813,-0.5160393583246157,-0.7142743576607063,0.6030464141116016,0.3517597256382532,-0.8485530929780206,0.8319734488538764,-0.7686444049391883,-0.7390244616445044,-0.6163153572078369
inc_p_cap,-0.26196194623651975,0.024269650884238315,0.04142752823152656,0.11742992184733586,-0.029477424726105796,0.02385227424947551,-0.08515337478814254,-0.8460528395926162,0.6401466553612672,-0.7715021517805827,0.8347521704843586,0.6548914812067138,0.8802606001400521,1.0,0.8884677491790521,0.41592230553190496,0.5321249270625189,0.12644720412493324,0.21775314068631207,-0.4674648134730426,-0.6349391971282402,0.6996161909820733,-0.3082673696014809,-0.5955235057748703,0.4503346016687144,0.2057386817554192,-0.6763788461884933,0.715954001058741,-0.6985450012521766,-0.5782110107933429,-0.48936636268709205
med_rent,-0.26702510348059577,0.004034329506302555,0.09284641851844846,0.12050242035389866,-0.1214465765730526,0.08336358293979025,-0.25723993571780035,-0.7162345461806822,0.696608313142814,-0.6632666739750178,0.809118565019123,0.6322841872376439,0.8017690627478253,0.8884677491790521,1.0,0.3131400878352368,0.4076647659684664,0.21652741957063878,0.2970749223016791,-0.4435239544036581,-0.47124858370790623,0.639794768688061,-0.25631237651242755,-0.568487304119984,0.31453593020304543,0.07418222529095102,-0.6564877765045449,0.6863494892834049,-0.4954102023955598,-0.5551038664002736,-0.38440557711580237
perc_hh_comp,0.01992532474031753,0.2584996567220736,-0.02370404274267987,-0.13520729083744082,-0.07966976478532034,-0.09656371145493926,-0.10232022772671118,-0.5450670542707379,0.2633441891923738,-0.516989903009604,0.566359388842344,0.5525211692018641,0.5281169614705588,0.41592230553190496,0.3131400878352368,1.0,0.9612045845468054,-0.2283760111479351,-0.25284572009086215,-0.5727755587199238,-0.23331174732174845,0.600631787980965,-0.6836510208971804,-0.35784012750022404,0.4680987565343787,0.3944298148317187,-0.5954828970959207,0.527956948368285,-0.6498329167257244,-0.6384647145353406,-0.5967175515705707
perc_hh_internet,0.006334631757617819,0.23949341599252133,-0.009303157030905068,-0.09469414840706133,-0.06372089855822291,-0.04928126713828812,-0.11028346200109838,-0.6333930985959363,0.3516297292310537,-0.6076163709453682,0.6591294308503534,0.6256619779912928,0.6300807719223523,0.5321249270625189,0.4076647659684664,0.9612045845468054,1.0,-0.17793614787987933,-0.22177784955718716,-0.6530848803743454,-0.32315705150072416,0.6784169440629441,-0.7161303908357374,-0.4773470892900065,0.5138599347092557,0.42438543457997546,-0.6813783998002904,0.6141490211892301,-0.7150665585445986,-0.7182078871448904,-0.6569675715835172
highly_walkable_pop_pct,-0.10385926969751447,-0.013916740951710959,-0.1590791963018475,-0.11421979142582732,0.01902661302120479,0.12381287497547727,0.10605789828944336,0.03979798839356308,0.05365207726525991,-0.0982426711688097,0.1859731330707084,0.22033520019476122,0.12707976590766656,0.12644720412493324,0.21652741957063878,-0.2283760111479351,-0.17793614787987933,1.0,0.6938118561540221,-0.016552774139731802,0.008921867015965819,0.18418674516108863,0.09495711718674525,-0.40649387750576915,0.08258193231669698,0.04590569558912377,-0.18522142346533363,0.14858754171053645,0.07914690075500434,-0.11421822079350138,-0.06817727767952662
highly_walkable_emp_pct,-0.17447109441991968,-0.049359849599172965,0.06210139977386589,0.0229494787436106,0.07084072483298737,0.012632641191700733,0.14770102821214495,-0.13018984300140976,-0.006436382792242841,-0.2714575146051651,0.18913131692166701,0.2595702283525536,0.19796161640523996,0.21775314068631207,0.2970749223016791,-0.25284572009086215,-0.22177784955718716,0.6938118561540221,1.0,-0.048484976425112736,-0.07788388568753052,0.1928383860240191,0.1844263401722858,-0.36388546381450226,0.06624138044248061,-0.1887048600379724,-0.18823319662640722,0.1996927038531209,-0.015075654651293067,-0.11601574967263362,-0.023317910928083753
low_bw_rate,-0.008829388164270575,-0.1889829015134836,-0.06440167698430677,0.0013916306984622364,0.14182644348004925,-0.046269690770601016,0.12339075603938823,0.4869182714670445,-0.3007249511204913,0.7057353546613185,-0.6021024190642752,-0.8682005898775038,-0.6955839133582642,-0.4674648134730426,-0.4435239544036581,-0.5727755587199238,-0.6530848803743454,-0.016552774139731802,-0.048484976425112736,1.0,0.05248818042541928,-0.8514210993135367,0.814031958285418,0.711756650435545,-0.6202971955132701,-0.474665723450259,0.887001330811734,-0.8040031368886666,0.536531391151637,0.9380078278751377,0.7993521236549038
