,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58
1659,12968449,JG135353,2023-01-30T21:53:00.000,011XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,CTA TRAIN,True,False,0123,001,4,32,11,1176517,1895340,2023,2023-02-06T15:49:33.000,41.868165405,-87.62743954,"{'latitude': '41.868165405', 'longitude': '-87.62743954', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14913,38,12,10,35,22,144
1660,12969214,JG136299,2023-01-30T21:50:00.000,016XX W HARRISON ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,HOSPITAL BUILDING / GROUNDS,False,True,1231,012,27,28,26,1165491,1897444,2023,2023-02-06T15:49:33.000,41.874180626,-87.66785807,"{'latitude': '41.874180626', 'longitude': '-87.66785807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,21184,29,5,46,28,15,136
1661,12969000,JG135382,2023-01-30T21:48:00.000,055XX W EDMUNDS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1623,016,45,11,08B,1138474,1932515,2023,2023-02-06T15:49:33.000,41.970951297,-87.76620158,"{'latitude': '41.970951297', 'longitude': '-87.76620158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20,21869,11,780,50,48,12,58
1662,12968485,JG135380,2023-01-30T21:47:00.000,022XX W NORTH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1424,014,1,24,07,1160964,1910597,2023,2023-02-06T15:49:33.000,41.910368667,-87.684113734,"{'latitude': '41.910368667', 'longitude': '-87.684113734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,22535,25,298,40,1,7,192
1663,12968645,JG135561,2023-01-30T21:45:00.000,009XX E 75TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0323,003,8,69,07,1183963,1855484,2023,2023-02-06T15:49:33.000,41.758626359,-87.601350551,"{'latitude': '41.758626359', 'longitude': '-87.601350551', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,67,121,35,61,18,223
1664,12968481,JG135372,2023-01-30T21:40:00.000,075XX N PAULINA ST,4650,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER,SIDEWALK,True,False,2422,024,49,1,26,1163642,1950114,2023,2023-02-06T15:49:33.000,42.018748975,-87.673157281,"{'latitude': '42.018748975', 'longitude': '-87.673157281', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,21853,10,489,5,9,11,32
1665,12968475,JG135351,2023-01-30T21:39:00.000,078XX S COLES AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,False,True,0421,004,7,43,26,1197670,1853511,2023,2023-02-06T15:49:33.000,41.752881282,-87.551182124,"{'latitude': '41.752881282', 'longitude': '-87.551182124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,22538,39,421,37,24,19,225
1666,12970388,JG137692,2023-01-30T21:34:00.000,082XX S INGLESIDE AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,0631,006,8,44,05,1183997,1850610,2023,2023-02-06T15:49:33.000,41.745250808,-87.60137791,"{'latitude': '41.745250808', 'longitude': '-87.60137791', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,40,141,35,61,20,235
1667,12968531,JG135354,2023-01-30T21:31:00.000,071XX S LAWNDALE AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,0833,008,13,65,04B,1152939,1856910,2023,2023-02-06T15:49:33.000,41.763207667,-87.715014358,"{'latitude': '41.763207667', 'longitude': '-87.715014358', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23,21867,63,317,15,58,13,209
1668,12968613,JG135512,2023-01-30T21:30:00.000,082XX S MORGAN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0613,006,21,71,14,1171079,1850238,2023,2023-02-06T15:49:33.000,41.744521777,-87.648722268,"{'latitude': '41.744521777', 'longitude': '-87.648722268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,70,487,13,59,20,233
1669,12968930,JG135942,2023-01-30T21:30:00.000,084XX S BUFFALO AVE,0810,THEFT,OVER $500,RESIDENCE,False,False,0424,004,10,46,06,1199605,1849696,2023,2023-02-06T15:49:33.000,41.74236417,-87.544219507,"{'latitude': '41.74236417', 'longitude': '-87.544219507', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47,21202,42,506,47,25,19,239
1670,12968622,JG135515,2023-01-30T21:30:00.000,034XX W POLK ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,False,False,1133,011,24,27,07,1153506,1896156,2023,2023-02-06T15:49:33.000,41.87089277,-87.711895883,"{'latitude': '41.87089277', 'longitude': '-87.711895883', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21572,28,685,14,30,16,141
1671,12968879,JG135800,2023-01-30T21:30:00.000,006XX S LA SALLE ST,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0123,001,4,32,06,1175346,1897439,2023,2023-02-06T15:49:33.000,41.873951538,-87.631675478,"{'latitude': '41.873951538', 'longitude': '-87.631675478', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14913,38,12,10,35,22,144
1672,12968604,JG135481,2023-01-30T21:30:00.000,105XX S AVENUE J,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE - YARD (FRONT / BACK),False,False,0432,004,10,52,07,1202502,1835718,2023,2023-02-06T15:49:33.000,41.703934124,-87.534080671,"{'latitude': '41.703934124', 'longitude': '-87.534080671', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47,21202,49,715,47,25,19,247
