,,,,,Overall LPS Data,,,,,,,Detailed Plan Type for Students in Numerator,,,,,,,,,
School Governance Type,Year,School ID,School Name,Network,# Students in Denominator,% With Concrete Plan,% With Waiver,% With No Plan or Waiver,# With Concrete Plan,# With Waiver,# With No Plan or Waiver,# With Apprenticeship Plan,# With Certificate Plan,# With 2-Year College Plan,# With 4-Year College Plan,# With Employment Plan,# With Gap Year Plan,# With Job Training Plan,# With Military Plan,# With Other Plan Specified,# With Plan Type Not Specified
District,2020,610381,BRONZEVILLE HS,Network 17,30,100.0%,0.0%,0.0%,30,0,0,0,1,15,8,4,0,0,0,1,1
District,2020,610383,SOCIAL JUSTICE HS,Network 15,69,100.0%,0.0%,0.0%,69,0,0,1,0,28,17,15,0,1,0,7,0
District,2020,610384,INFINITY HS,ISP,94,96.8%,0.0%,3.2%,91,0,3,1,1,55,19,10,0,1,3,1,0
District,2020,610385,MULTICULTURAL HS,Network 15,41,97.6%,0.0%,2.4%,40,0,1,0,0,25,9,2,0,0,1,3,0
District,2020,610386,PEACE AND EDUCATION HS,ISP,37,51.4%,0.0%,48.6%,19,0,18,0,0,10,1,3,0,0,1,0,4
District,2020,610389,ORR HS,AUSL,52,94.2%,0.0%,5.8%,49,0,3,0,0,16,20,12,0,0,0,1,0
District,2020,610390,RICKOVER MILITARY HS,ISP,110,99.1%,0.0%,0.9%,109,0,1,0,3,28,60,7,0,1,10,0,0
District,2020,610391,LINDBLOM HS,Network 16,283,99.6%,0.0%,0.4%,282,0,1,0,0,1,33,0,1,0,1,0,246
District,2020,610392,WORLD LANGUAGE HS,Network 15,91,100.0%,0.0%,0.0%,91,0,0,0,0,56,28,3,0,0,0,0,4
District,2020,610394,UPLIFT HS,Network 14,56,94.6%,0.0%,5.4%,53,0,3,0,0,12,15,0,0,1,1,24,0
District,2020,610402,DEVRY HS,Network 14,65,100.0%,0.0%,0.0%,65,0,0,1,1,5,52,6,0,0,0,0,0
District,2020,610499,COLLINS HS,AUSL,42,95.2%,0.0%,4.8%,40,0,2,0,1,16,14,3,3,2,1,0,0
District,2020,610513,AIR FORCE HS,Network 16,48,97.9%,2.1%,0.0%,47,1,0,1,1,7,28,5,0,0,5,0,0
District,2020,610518,AUSTIN CCA HS,Network 15,41,100.0%,0.0%,0.0%,41,0,0,0,0,24,16,0,1,0,0,0,0
District,2020,610524,ALCOTT HS,Network 15,73,98.6%,0.0%,1.4%,72,0,1,0,1,30,39,0,0,1,1,0,0
District,2020,610529,OGDEN HS,Network 15,126,96.8%,0.8%,2.4%,122,1,3,0,1,25,92,1,0,1,1,1,0
District,2020,610543,SOLORIO HS,AUSL,249,99.6%,0.0%,0.4%,248,0,1,1,2,86,128,20,0,1,2,8,0
District,2020,610547,SOUTH SHORE INTL HS,Network 17,151,100.0%,0.0%,0.0%,151,0,0,1,2,31,90,7,1,0,5,14,0
District,2020,610558,GOODE HS,Network 16,214,96.7%,0.0%,3.3%,207,0,7,0,0,80,82,23,0,1,0,2,19
District,2020,610561,CRANE MEDICAL HS,Network 15,110,97.3%,0.0%,2.7%,107,0,3,0,0,37,59,4,0,0,5,0,2
District,2020,610563,BACK OF THE YARDS HS,ISP,261,99.2%,0.0%,0.8%,259,0,2,0,3,69,181,5,0,1,0,0,0
District,2020,610564,DISNEY II HS,Network 14,108,97.2%,0.0%,2.8%,105,0,3,0,0,47,52,1,0,0,3,2,0
District,2020,610587,DYETT ARTS HS,Network 17,130,100.0%,0.0%,0.0%,130,0,0,4,1,37,67,13,0,0,2,6,0
