,,,,,Overall LPS Data,,,,,,,Detailed Plan Type for Students in Numerator,,,,,,,,,,
School Governance Type,Year,School ID,School Name,Network,# Students in Denominator,% With Concrete Plan,% With Waiver,% With No Plan or Waiver,# With Concrete Plan,# With Waiver,# With No Plan or Waiver,# With Apprenticeship Plan,# With Certificate Plan,# With 2-Year College Plan,# With 4-Year College Plan,# With Employment Plan,# With Business Plan,# With Gap Year Plan,# With Job Training Plan,# With Military Plan,# With Transition Program Plan,# With Continue High School Plan
District,2021,609780,MARINE LEADERSHIP AT AMES HS,ISP,112,99.1%,0.0%,0.9%,111,0,1,0,3,47,45,8,0,0,1,7,0,0
District,2021,609783,JEFFERSON HS,Network 16,11,100.0%,0.0%,0.0%,11,0,0,0,1,0,1,8,0,0,1,0,0,0
District,2021,610244,CLARK HS,ISP,101,90.1%,0.0%,9.9%,91,0,10,0,2,36,40,12,0,0,0,1,0,0
District,2021,610245,DOUGLASS HS,Network 15,14,100.0%,0.0%,0.0%,14,0,0,0,0,8,2,4,0,0,0,0,0,0
District,2021,610304,PHOENIX MILITARY HS,ISP,130,99.2%,0.0%,0.8%,129,0,1,0,4,31,66,16,0,0,1,10,1,0
District,2021,610323,BOWEN HS,Network 17,60,96.7%,0.0%,3.3%,58,0,2,0,0,10,24,11,1,0,4,1,2,5
District,2021,610334,RABY HS,Network 15,80,91.3%,0.0%,8.8%,73,0,7,0,1,19,14,10,0,0,7,1,9,12
District,2021,610340,CHICAGO ACADEMY HS,AUSL,132,100.0%,0.0%,0.0%,132,0,0,0,5,66,56,4,0,0,0,1,0,0
District,2021,610357,SPRY HS,Network 16,28,92.9%,0.0%,7.1%,26,0,2,0,0,11,3,7,0,0,0,0,1,4
District,2021,610380,WILLIAMS HS,Network 17,43,100.0%,0.0%,0.0%,43,0,0,0,2,12,24,3,0,1,0,0,0,1
District,2021,610381,BRONZEVILLE HS,Network 17,45,95.6%,0.0%,4.4%,43,0,2,0,0,8,28,3,0,0,0,0,1,3
District,2021,610383,SOCIAL JUSTICE HS,Network 15,69,91.3%,0.0%,8.7%,63,0,6,0,1,24,13,9,1,0,2,2,0,11
District,2021,610384,INFINITY HS,ISP,99,93.9%,0.0%,6.1%,93,0,6,1,4,29,35,20,0,1,2,1,0,0
District,2021,610385,MULTICULTURAL HS,Network 15,46,95.7%,4.3%,0.0%,44,2,0,0,0,18,11,6,0,0,4,1,1,3
District,2021,610386,PEACE AND EDUCATION HS,ISP,37,97.3%,0.0%,2.7%,36,0,1,0,7,15,1,10,0,0,2,1,0,0
District,2021,610389,ORR HS,AUSL,50,98.0%,0.0%,2.0%,49,0,1,0,3,11,23,11,0,0,0,0,0,1
District,2021,610390,RICKOVER MILITARY HS,ISP,86,98.8%,0.0%,1.2%,85,0,1,1,3,25,40,7,0,0,0,7,0,2
District,2021,610391,LINDBLOM HS,ISP,286,97.9%,0.3%,1.7%,280,1,5,0,1,26,212,14,2,1,0,2,0,22
District,2021,610392,WORLD LANGUAGE HS,Network 15,74,94.6%,0.0%,5.4%,70,0,4,0,1,42,16,10,0,0,0,1,0,0
District,2021,610394,UPLIFT HS,Network 14,37,97.3%,0.0%,2.7%,36,0,1,0,0,2,9,0,0,0,0,0,2,23
District,2021,610402,DEVRY HS,Network 14,71,100.0%,0.0%,0.0%,71,0,0,0,2,3,58,6,0,0,0,2,0,0
District,2021,610499,COLLINS HS,AUSL,46,97.8%,2.2%,0.0%,45,1,0,0,0,14,18,4,0,1,8,0,0,0
District,2021,610513,AIR FORCE HS,Network 16,31,96.8%,0.0%,3.2%,30,0,1,0,0,8,16,5,0,0,0,1,0,0
District,2021,610518,AUSTIN CCA HS,Network 15,57,91.2%,0.0%,8.8%,52,0,5,0,1,24,15,9,2,0,0,1,0,0
District,2021,610524,ALCOTT HS,Network 15,71,100.0%,0.0%,0.0%,71,0,0,0,1,28,40,0,0,0,0,2,0,0
District,2021,610529,OGDEN HS,Network 15,172,100.0%,0.0%,0.0%,172,0,0,0,1,31,127,11,0,0,1,0,1,0
District,2021,610543,SOLORIO HS,AUSL,308,96.1%,0.0%,3.9%,296,0,12,2,4,96,146,26,0,2,4,2,7,7
District,2021,610547,SOUTH SHORE INTL HS,Network 17,158,96.2%,0.0%,3.8%,152,0,6,0,8,28,96,6,1,1,1,4,7,0
District,2021,610558,GOODE HS,Network 16,207,98.6%,0.0%,1.4%,204,0,3,0,11,72,94,22,0,0,1,2,1,1
District,2021,610561,CRANE MEDICAL HS,Network 15,73,90.4%,0.0%,9.6%,66,0,7,0,2,13,48,1,0,1,0,1,0,0
District,2021,610563,BACK OF THE YARDS HS,ISP,255,98.8%,0.0%,1.2%,252,0,3,0,9,52,170,18,0,0,0,2,1,0
District,2021,610564,DISNEY II HS,Network 14,124,97.6%,0.0%,2.4%,121,0,3,0,3,48,64,3,0,0,0,1,1,1
District,2021,610587,DYETT ARTS HS,Network 17,141,98.6%,0.0%,1.4%,139,0,2,1,6,45,81,5,1,0,0,0,0,0
