,pre_cov_att,post_cov_att,pre_att_bucket,post_att_bucket,att_diff_pp
307,86.4,78.45,low,low,7.950000000000003
308,91.75,85.75,high,high,6.0
309,89.4,73.3,high,low,16.10000000000001
310,87.05,88.3,low,high,-1.25
311,83.80000000000001,75.8,low,low,8.000000000000014
312,92.4,83.75,high,high,8.650000000000006
313,89.45,78.0,high,low,11.450000000000005
314,91.55,87.35,high,high,4.200000000000003
315,91.3,87.19999999999999,high,high,4.100000000000023
316,87.55000000000001,76.15,low,low,11.400000000000006
317,87.55000000000001,76.15,low,low,11.400000000000006
318,91.25,89.80000000000001,high,high,1.4499999999999886
319,90.2,73.69999999999999,high,low,16.500000000000014
320,89.6,86.05000000000001,high,high,3.549999999999983
321,89.9,85.0,high,high,4.900000000000006
322,82.25,81.65,low,low,0.5999999999999943
323,86.85,89.94999999999999,low,high,-3.0999999999999943
324,89.9,84.15,high,high,5.75
325,95.05,94.5,high,high,0.5500000000000114
326,90.3,81.65,high,low,8.650000000000006
327,86.9,71.35,low,low,15.550000000000011
328,86.5,89.7,low,high,-3.200000000000003
329,90.1,89.45,high,high,0.6499999999999915
330,88.7,83.8,high,high,4.900000000000006
331,94.05,91.3,high,high,2.749999999999986
332,86.6,87.85,low,high,-1.25
333,82.6,72.85,low,low,9.75
334,88.80000000000001,89.85,high,high,-1.049999999999983
335,87.6,81.65,low,low,5.949999999999989
336,85.7,85.0,low,high,0.7000000000000028
337,91.6,87.85,high,high,3.75
338,89.30000000000001,77.65,high,low,11.650000000000006
339,89.1,85.85,high,high,3.25
340,91.3,91.2,high,high,0.1000000000000085
341,90.05000000000001,87.05,high,high,3.000000000000014
342,90.15,86.05,high,high,4.1000000000000085
343,91.7,89.25,high,high,2.450000000000003
344,89.94999999999999,80.55000000000001,high,low,9.399999999999975
345,91.1,88.15,high,high,2.9499999999999886
346,85.25,80.0,low,low,5.25
347,85.65,79.2,low,low,6.450000000000003
348,92.5,79.75,high,low,12.75
349,91.05,86.94999999999999,high,high,4.1000000000000085
350,87.25,84.55,low,high,2.700000000000003
351,96.85,91.75,high,high,5.099999999999994
352,80.1,73.5,low,low,6.599999999999994
353,92.0,91.75,high,high,0.25
354,88.05000000000001,79.4,low,low,8.650000000000006
355,84.75,85.2,low,high,-0.4500000000000028
356,87.35,78.1,low,low,9.25
357,89.0,87.1,high,high,1.9000000000000057
358,90.95,90.35,high,high,0.6000000000000085
359,89.75,86.15,high,high,3.5999999999999943
360,87.2,77.15,low,low,10.049999999999995
361,91.65,89.25,high,high,2.4000000000000057
362,92.55,91.1,high,high,1.450000000000017
363,92.75,91.45,high,high,1.2999999999999972
364,88.65,83.0,high,high,5.650000000000006
365,92.35,85.35,high,high,7.0
366,85.6,76.85,low,low,8.75
367,86.95,76.95,low,low,10.0
368,93.5,89.2,high,high,4.299999999999997
369,91.35,92.65,high,high,-1.3000000000000114
370,93.05,75.44999999999999,high,low,17.600000000000023
371,91.05,89.1,high,high,1.950000000000017
372,85.55000000000001,80.35,low,low,5.200000000000017
373,88.5,82.35,high,high,6.150000000000006
374,94.6,95.0,high,high,-0.4000000000000057
375,78.35,86.94999999999999,low,high,-8.599999999999994
376,88.35,88.25,high,high,0.0999999999999943
377,91.1,80.85,high,low,10.25
378,88.45,74.0,high,low,14.450000000000005
379,93.2,76.0,high,low,17.19999999999999
380,90.55,89.1,high,high,1.4500000000000028
381,90.35,88.94999999999999,high,high,1.4000000000000057
382,90.75,85.15,high,high,5.599999999999994
383,87.65,91.3,low,high,-3.6500000000000057
384,91.0,87.65,high,high,3.3499999999999943
385,89.3,82.95,high,high,6.349999999999994
386,88.15,79.95,low,low,8.200000000000003
387,85.44999999999999,73.05,low,low,12.399999999999991
388,90.55,79.25,high,low,11.300000000000011
389,84.4,88.15,low,high,-3.75
390,90.55,71.0875,high,low,19.46250000000001
391,86.95,77.55,low,low,9.400000000000006
392,89.15,90.0,high,high,-0.8499999999999943
393,92.2,86.6,high,high,5.6000000000000085
394,93.0,84.9,high,high,8.099999999999994
395,84.55,72.7,low,low,11.849999999999994
396,81.55,71.95,low,low,9.599999999999994
397,89.65,79.55,high,low,10.100000000000009
398,86.5,78.6,low,low,7.900000000000006
399,81.30000000000001,82.0,low,high,-0.6999999999999886
400,91.8,73.95,high,low,17.849999999999994
401,82.9,78.8,low,low,4.1000000000000085
402,88.1,81.8,low,low,6.299999999999997
403,86.25,79.6,low,low,6.650000000000006
404,91.65,72.4,high,low,19.25
405,86.85,74.65,low,low,12.199999999999989
406,77.15,72.15,low,low,5.0
407,85.25,80.25,low,low,5.0
408,91.05,86.35,high,high,4.700000000000017
409,91.2,90.95,high,high,0.25
410,87.45,82.5,low,high,4.950000000000003
411,85.65,64.19999999999999,low,low,21.450000000000017
412,88.65,76.5,high,low,12.150000000000006
413,85.6,85.15,low,high,0.4499999999999886
414,86.75,67.25,low,low,19.5
415,86.55000000000001,71.05,low,low,15.500000000000014
416,94.6875,86.63749999999999,high,high,8.050000000000011
417,81.15,75.5,low,low,5.650000000000006
418,68.85,62.7,low,low,6.149999999999999
419,94.4,93.9,high,high,0.5
420,88.2,80.9,low,low,7.299999999999997
421,89.75,85.95,high,high,3.799999999999997
422,84.0,74.01249999999999,low,low,9.987500000000011
423,84.0,74.01249999999999,low,low,9.987500000000011
424,84.0,74.01249999999999,low,low,9.987500000000011
425,92.2,91.6,high,high,0.6000000000000085
426,89.5,88.5,high,high,1.0
427,81.80000000000001,66.6875,low,low,15.112500000000011
428,96.85,85.8,high,high,11.049999999999995
429,93.1875,92.1375,high,high,1.0499999999999972
430,89.95,86.15,high,high,3.799999999999997
431,85.25,80.35,low,low,4.900000000000006
432,88.55,88.9,high,high,-0.3500000000000085
433,90.0,89.05000000000001,high,high,0.9499999999999886
434,89.15,81.05,high,low,8.100000000000009
435,91.65,84.25,high,high,7.400000000000006
436,85.82499999999999,62.3625,low,low,23.46249999999999
437,93.75,85.3,high,high,8.450000000000003
438,89.25,91.75,high,high,-2.5
439,92.25,91.7,high,high,0.5499999999999972
440,89.4,72.4,high,low,17.0
441,81.15,73.4,low,low,7.75
442,90.7,82.65,high,high,8.049999999999983
443,85.38749999999999,81.025,low,low,4.362499999999983
444,83.625,84.5,low,high,-0.875
445,88.225,76.25,low,low,11.974999999999994
446,92.6125,88.125,high,high,4.487500000000011
447,87.5625,85.475,low,high,2.0875000000000057
448,85.88333333333333,76.06666666666668,low,low,9.816666666666649
449,73.0625,65.075,low,low,7.987499999999997
450,90.75,85.3125,high,high,5.4375
451,90.6125,86.625,high,high,3.987499999999997
452,90.775,86.25,high,high,4.525000000000006
453,85.1,70.86250000000001,low,low,14.237499999999985
454,93.05,88.05,high,high,5.0
455,94.6,92.625,high,high,1.9749999999999943
456,94.0,89.75,high,high,4.25
457,83.8625,70.9625,low,low,12.899999999999991
458,87.95,86.65,low,high,1.2999999999999972
459,91.8875,87.98750000000001,high,high,3.899999999999992
460,83.275,53.225,low,low,30.05000000000001
461,88.25,84.7,low,high,3.549999999999997
462,90.6625,82.0875,high,high,8.574999999999989
463,91.8,83.7625,high,high,8.037500000000009
464,75.7,70.35,low,low,5.3500000000000085
465,93.1,88.75,high,high,4.349999999999994
466,88.80000000000001,86.2,high,high,2.6000000000000085
467,92.85,88.35,high,high,4.5
468,91.3,87.65,high,high,3.649999999999992
469,94.0375,85.6,high,high,8.4375
470,89.725,78.30000000000001,high,low,11.424999999999985
471,70.73750000000001,60.7125,low,low,10.025000000000013
