ca_id,count_schools,tot_student,perc_low_income,perc_black_his_stu,bus_count,pre_cov_att,post_cov_att,att_diff_pp,dolla_per_student,comm_area_x,med_age,covid_idx,perc_chg_pop,perc_black_hispanic,perc_pop_lforce,perc_emp,med_inc,inc_p_cap,med_rent,perc_hh_comp,perc_hh_internet,highly_walkable_pop_pct,highly_walkable_emp_pct,pop,long,lat,low_bw_rate,uninsured_rate,adq_child_care,perc_vacant_units,perc_sing_par_hh,comm_belong_16_18,comm_belong_20_21,perc_hh_stamps,perc_not_getting_stamps,rent_burdened_hh,homicide_rate,drug_induced_dt_rate
11,2,728.0,0.44997242374103774,0.43301302447923296,6.5,88.67500000000001,87.525,1.1500000000000057,13020.829669933393,Jefferson Park,38.27886136,25.6,1.3805638269074596,26.991248069427083,56.02338751195117,95.615359369872,77198.06008,35584.0146,1182.062147,91.75247992442137,86.97213037316958,0.975289982,0.997767145,26201,-87.771165,41.978836,9.8,7.801143114,80.7,7.729958992,3.500573915,64.1,52.51604687,9.460692566,57.34843653,37.89021138,2.5,21.4
13,6,835.0,0.57886382226304,0.5097914620788456,1.6666666666666667,90.49583333333334,88.99166666666667,1.5041666666666653,16102.832820063815,North Park,38.3153431,40.6,-5.158258615102085,20.9667127512496,48.54301818568542,94.9392047321722,60362.90323,32506.85239,1070.766129,92.83568639231,89.2610393511565,0.996644087,0.998506855,17522,-87.723578,41.983651,7.4,9.698526393,72.0,7.873939201,4.107817455,73.0,66.36286842,14.42116185,58.81033776,39.79154524,4.2,8.1
14,6,761.1666666666666,0.6925080979707797,0.758363423099626,2.5,89.67708333333333,86.09375,3.583333333333338,11712.430832111559,Albany Park,34.26150833,38.2,-16.05931835920562,51.12215909090909,57.47970779220779,93.31003318505968,69397.59036,32298.08478,1173.230594,89.60433541168929,83.84709515762485,1.0,1.0,48549,-87.721558,41.968078,7.4,17.1584564,75.1,8.486359115,7.710994836,67.0,31.68147402,15.9036066,55.77471209,41.70901305,4.2,15.0
15,7,652.1428571428571,0.6985864197972657,0.7909887441415052,2.4285714285714284,87.93928571428572,84.69821428571429,3.241071428571424,16829.984083298426,Portage Park,38.9126813,34.3,-3.5506580961126417,44.15119135155431,56.67172515214568,94.38493816254416,75868.65629,33413.14927,1114.074329,87.41679467485919,82.89810547875064,1.0,1.0,63038,-87.763401,41.954043,7.1,13.1230297,75.6,9.170525373,5.967496438,67.2,39.54059988,9.411111705,74.36045097,42.59224236,2.4,23.2
16,10,692.3,0.6417857808739867,0.7515749584989186,1.8,90.2225,88.03999999999999,2.1824999999999988,14820.568581321588,Irving Park,36.20763142,30.3,-11.43017922002626,43.892246847250206,60.5495858518021,94.04750901192348,72045.04095,38887.99043,1170.727338,93.03251803954645,88.0798425639584,1.0,1.0,51911,-87.723457,41.953589,8.1,10.59214873,78.0,8.003021834,4.729319055,63.9,49.3941824,9.896906845,62.71213055,37.41119935,5.9,19.1
17,5,758.4,0.5861512786157265,0.6626678349408703,1.2,89.7875,89.11749999999999,0.6700000000000046,10314.964144702468,Dunning,42.66814304,36.0,2.3313727350346265,34.21662422281873,55.30548099203892,95.40778229486436,74525.7732,33822.48294,1101.5625,89.1782039883145,82.516194589102,0.982360533,0.997059784,43120,-87.806015,41.946522,8.1,10.32246784,79.4,5.575845613,3.395380228,62.4,48.17654186,6.868224376,85.3827836,34.57709658,2.8,20.5
18,1,1148.0,0.7560975609756098,0.872822299651568,0.0,86.55000000000001,84.6,1.950000000000017,10989.587108013937,Montclare,38.46069869,52.8,13.877906057251304,58.76095118898623,51.28633013489083,95.53958785249458,55882.35294,28269.38771,1114.835165,77.20558882235528,73.87225548902195,1.0,1.0,14412,-87.798033,41.929306,8.9,8.982010459,74.2,6.799851729,8.606897486,77.3,47.91128102,14.75043978,76.38608396,66.35638411,11.7,18.7
19,11,867.9090909090909,0.7786272224365444,0.9653846728676121,1.8181818181818181,89.92727272727274,85.29431818181818,4.632954545454546,13091.817828862317,Belmont Cragin,35.22748666,52.4,-0.0358312858312858,82.33360410214755,51.12072904503224,94.8630732179656,58138.0978,21611.65496,1064.839572,85.36460554371003,78.23880597014924,1.0,1.0,78151,-87.765502,41.927275,8.2,17.28339899,72.2,7.475224192,8.238324556,49.4,44.16632921,21.13088159,53.01635671,51.52711809,10.0,18.9
20,8,903.375,0.7111038626186705,0.5545552382810252,1.375,90.4671875,86.4828125,3.984375,12107.092066113046,Hermosa,35.34880148,50.3,-10.576780139735394,87.0439925743643,55.12671070241333,94.05591667319288,54773.13975,24226.59958,1010.831889,85.88282078472959,81.74708377518559,1.0,1.0,24127,-87.734741,41.924353,7.0,17.63434935,72.9,7.713896868,7.986754053,73.2,42.43893158,16.75398256,70.21060386,44.46595794,6.6,20.2
21,5,613.2,0.8055510105570509,0.9717460502278892,2.0,88.75250000000001,85.705,3.047500000000008,13309.092203914503,Avondale,33.56555024,28.5,-15.843836315948288,56.07869379014989,61.937901498929335,95.0172860847018,73616.00306,35759.78129,1205.620704,88.3317327479764,84.28453834545205,1.0,1.0,36245,-87.711219,41.938673,7.2,14.79087357,77.5,11.09325851,5.415950744,62.4,50.10846773,12.20934862,60.66962954,36.97929872,5.5,20.8
