School_ID,Short_Name,Zip,Lat,Long,GeoNetwork,COMMAREA,WARD_15
610244,CLARK HS,60644,41.87288501,-87.75332487,3,AUSTIN,29
610245,DOUGLASS HS,60644,41.89036863,-87.76766846,3,AUSTIN,29
610246,BEASLEY,60609,41.79846496,-87.62569158,9,WASHINGTON PARK,3
610248,CHICAGO ACADEMY ES,60634,41.94305592,-87.7781868,1,DUNNING,36
610249,TALMAN,60632,41.79404805,-87.69026084,8,GAGE PARK,14
610250,SALAZAR,60610,41.90141653,-87.63363243,6,NEAR NORTH SIDE,27
610251,CATHER,60612,41.88294992,-87.69918701,5,EAST GARFIELD PARK,27
610252,DETT,60612,41.87986982,-87.68031497,6,NEAR WEST SIDE,27
610254,DVORAK,60623,41.85888345,-87.71574357,5,NORTH LAWNDALE,24
610256,ROBINSON,60653,41.81734933,-87.59906677,9,OAKLAND,4
610257,MORTON,60612,41.88917814,-87.70510783,5,HUMBOLDT PARK,27
610263,DULLES,60637,41.77990049,-87.61721418,9,GREATER GRAND CROSSING,20
610268,ASHE,60619,41.74018379,-87.60117441,12,CHATHAM,8
610269,MCCUTCHEON,60640,41.97094908,-87.65475845,2,UPTOWN,46
610271,JENSEN,60612,41.87381495,-87.70224105,5,EAST GARFIELD PARK,28
610274,JOHNSON,60623,41.86183619,-87.70313876,5,NORTH LAWNDALE,24
610276,MOLLISON,60653,41.81435828,-87.61661794,9,GRAND BOULEVARD,3
610279,TANNER,60619,41.76067264,-87.60679104,12,GREATER GRAND CROSSING,6
610281,POWELL,60649,41.7603318,-87.55678925,12,SOUTH SHORE,7
610282,MCNAIR,60651,41.89781907,-87.74673078,3,AUSTIN,37
610284,NEW FIELD,60626,42.00770257,-87.67316833,2,ROGERS PARK,49
610287,ASHBURN,60652,41.74235057,-87.70960968,10,ASHBURN,18
610290,MAYS,60621,41.7727275,-87.63727735,11,ENGLEWOOD,6
610291,LEE,60629,41.77530539,-87.72888429,10,WEST LAWN,13
610293,MELODY,60624,41.87879893,-87.72466123,5,WEST GARFIELD PARK,28
610295,HIGGINS,60643,41.68103137,-87.64699404,13,WEST PULLMAN,34
610298,LENART,60620,41.74718592,-87.62804036,11,CHATHAM,21
610299,KING ES,60621,41.76533498,-87.64133454,11,ENGLEWOOD,6
610300,WESTCOTT,60620,41.74886823,-87.63475052,11,CHATHAM,17
610304,PHOENIX MILITARY HS,60612,41.87911823,-87.68696022,6,NEAR WEST SIDE,27
610305,LELAND,60644,41.87358678,-87.74927555,3,AUSTIN,29
610308,RUDOLPH,60612,41.88356817,-87.66947671,6,NEAR WEST SIDE,27
610312,MCDOWELL,60619,41.73313231,-87.5895895,12,CALUMET HEIGHTS,8
610313,DE DIEGO,60622,41.90529385,-87.6857562,5,WEST TOWN,1
610315,WHITE,60643,41.67230941,-87.65053854,13,WEST PULLMAN,34
610316,EARHART,60617,41.72610746,-87.58218174,12,CALUMET HEIGHTS,8
610317,BRIGHTON PARK,60632,41.8239,-87.69207693,8,BRIGHTON PARK,12
610319,EVERGREEN,60609,41.82935562,-87.66781651,8,MCKINLEY PARK,12
610323,BOWEN HS,60617,41.73462672,-87.55755003,12,SOUTH CHICAGO,7
610325,LOGANDALE,60618,41.9339702,-87.70804088,4,AVONDALE,35
610329,OROZCO,60608,41.85775481,-87.67521046,7,LOWER WEST SIDE,25
610334,RABY HS,60624,41.88621006,-87.71542312,5,EAST GARFIELD PARK,28
610339,STAGG,60621,41.75892473,-87.64921669,11,ENGLEWOOD,17
610340,CHICAGO ACADEMY HS,60634,41.94305449,-87.77684657,1,DUNNING,36
610342,SABIN,60622,41.90681581,-87.68304994,5,WEST TOWN,1
610345,WOODSON,60653,41.8144988,-87.60841877,9,GRAND BOULEVARD,3
610347,CLAREMONT,60636,41.77751051,-87.6810612,10,CHICAGO LAWN,16
610350,BLACK,60619,41.72969236,-87.57664295,12,CALUMET HEIGHTS,8
610352,DURKIN PARK,60652,41.73884394,-87.72995529,10,ASHBURN,18
610353,CALMECA,60632,41.82437733,-87.71165364,8,BRIGHTON PARK,12
610354,NORTH RIVER,60625,41.96172106,-87.70715073,1,ALBANY PARK,33
610355,COURTENAY,60640,41.96230777,-87.66385296,2,UPTOWN,46
610357,SPRY HS,60623,41.84776169,-87.69894611,7,SOUTH LAWNDALE,12
610362,EVERS,60628,41.71566536,-87.63930547,11,WASHINGTON HEIGHTS,34
610363,DISNEY,60613,41.95681613,-87.64608274,2,UPTOWN,46
610364,DUBOIS,60827,41.65373298,-87.61432001,13,RIVERDALE,9
610366,WACKER,60643,41.7161933,-87.64804432,11,WASHINGTON HEIGHTS,34
610367,DEPRIEST,60644,41.87797883,-87.76629755,3,AUSTIN,29
610368,HUGHES L,60628,41.70534232,-87.62986866,13,ROSELAND,34
610369,JACKSON M,60620,41.73412547,-87.64676673,11,AUBURN GRESHAM,21
610380,WILLIAMS HS,60615,41.8061176,-87.62502998,9,GRAND BOULEVARD,3
610381,BRONZEVILLE HS,60615,41.80520417,-87.62500447,9,GRAND BOULEVARD,3
610383,SOCIAL JUSTICE HS,60623,41.83350728,-87.73529947,7,SOUTH LAWNDALE,22
610384,INFINITY HS,60623,41.83616882,-87.73527796,7,SOUTH LAWNDALE,22
610385,MULTICULTURAL HS,60623,41.83528187,-87.7352833,7,SOUTH LAWNDALE,22
610386,PEACE AND EDUCATION HS,60609,41.80351472,-87.66737777,8,NEW CITY,20
610389,ORR HS,60624,41.89454672,-87.72665959,5,HUMBOLDT PARK,37
610390,RICKOVER MILITARY HS,60660,41.98902071,-87.66578851,2,EDGEWATER,48
610391,LINDBLOM HS,60636,41.7820408,-87.67166185,11,WEST ENGLEWOOD,15
610392,WORLD LANGUAGE HS,60623,41.83439662,-87.73529222,7,SOUTH LAWNDALE,22
610394,UPLIFT HS,60640,41.96554746,-87.65247335,2,UPTOWN,46
610396,TARKINGTON,60629,41.76440708,-87.70644465,10,CHICAGO LAWN,17
610402,DEVRY HS,60618,41.94138764,-87.69076139,4,NORTH CENTER,47
610405,SUDER,60612,41.88321452,-87.67763611,6,NEAR WEST SIDE,27
610499,COLLINS HS,60623,41.86414857,-87.70204159,5,NORTH LAWNDALE,24
610503,FRAZIER PROSPECTIVE,60624,41.86697963,-87.72724438,5,NORTH LAWNDALE,24
610504,THOMAS,60609,41.82777491,-87.67754185,8,MCKINLEY PARK,12
610506,TEAM HS,60621,41.7814849,-87.63301879,11,ENGLEWOOD,20
610513,AIR FORCE HS,60609,41.82814532,-87.63275698,6,ARMOUR SQUARE,11
610518,AUSTIN CCA HS,60644,41.88599329,-87.76191637,3,AUSTIN,37
610520,LASALLE II,60622,41.90291446,-87.67369603,6,WEST TOWN,1
610521,DAVIS M,60636,41.77122111,-87.66652988,11,WEST ENGLEWOOD,16
610523,EDISON PARK,60631,41.99423795,-87.81377123,1,NORWOOD PARK,41
610524,ALCOTT HS,60618,41.93579456,-87.68056201,4,NORTH CENTER,32
610529,OGDEN HS,60642,41.89354764,-87.65940468,6,WEST TOWN,1
610530,SOUTH SHORE ES,60637,41.76775511,-87.5903961,12,SOUTH SHORE,5
610532,HERNANDEZ,60632,41.79347933,-87.71136992,8,GAGE PARK,14
610533,PRIETO,60639,41.92131758,-87.76578057,3,BELMONT CRAGIN,36
400178,MOVING EVEREST,60644,41.88826258,-87.75542435,3,AUSTIN,37
610534,SKINNER NORTH,60610,41.90510912,-87.64484149,4,NEAR NORTH SIDE,27
610539,CAMRAS,60634,41.93493062,-87.77012726,3,BELMONT CRAGIN,30
610541,LORCA,60618,41.94002591,-87.72478312,4,AVONDALE,30
610542,WEST RIDGE,60645,42.002959,-87.70591721,2,WEST RIDGE,50
610543,SOLORIO HS,60632,41.79520056,-87.71105882,8,GAGE PARK,14
610544,AZUELA,60629,41.77107907,-87.73992023,10,WEST LAWN,13
610547,SOUTH SHORE INTL HS,60649,41.75879166,-87.57635264,12,SOUTH SHORE,8
610548,STEM,60607,41.86857588,-87.66496913,6,NEAR WEST SIDE,28
610557,PATHWAYS - ASHBURN HS,60652,41.73523902,-87.70406007,10,ASHBURN,18
610558,GOODE HS,60652,41.7537498,-87.70734535,10,ASHBURN,18
610559,SHIELDS MIDDLE,60632,41.80649141,-87.68977977,8,BRIGHTON PARK,14
610561,CRANE MEDICAL HS,60612,41.87694744,-87.68330135,6,NEAR WEST SIDE,27
610563,BACK OF THE YARDS HS,60609,41.80841254,-87.67754137,8,NEW CITY,15
610564,DISNEY II HS,60618,41.95248767,-87.72136351,1,IRVING PARK,45
610565,CAMELOT - EXCEL ENGLEWOOD HS,60621,41.76389597,-87.64912435,11,ENGLEWOOD,6
610566,MAGIC JOHNSON - N LAWNDALE HS,60624,41.86647785,-87.70660368,5,NORTH LAWNDALE,24
610567,MAGIC JOHNSON - ROSELAND HS,60661,41.69515984,-87.64269697,13,MORGAN PARK,34
610568,PATHWAYS - AVONDALE HS,60618,41.93943321,-87.70520632,4,AVONDALE,33
